Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-10-17,Team L,Team F,1,20:00,5,5,0,0,Team F,8,Faceoff Win,0.0,0.5,Backhand,,0,0,21,,
2025-10-17,Team L,Team F,1,19:58,5,5,0,0,Team F,42,Puck Recovery,-10.0,14.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:57,5,5,0,0,Team F,42,Zone Entry,24.0,38.5,Dumped,,0,0,24,,
2025-10-17,Team L,Team F,1,19:57,5,5,0,0,Team F,42,Dump In/Out,5.0,35.5,Retained,,0,0,,,
2025-10-17,Team L,Team F,1,19:55,5,5,0,0,Team F,26,Puck Recovery,75.0,-41.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:52,5,5,0,0,Team F,8,Play,92.0,-21.5,Indirect,,0,0,42,73.0,41.5
2025-10-17,Team L,Team F,1,19:52,5,5,0,0,Team F,8,Puck Recovery,92.0,-21.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:49,5,5,0,0,Team F,42,Incomplete Play,73.0,41.5,Indirect,,0,0,29,38.0,-40.5
2025-10-17,Team L,Team F,1,19:46,5,5,0,0,Team L,25,Takeaway,57.0,-40.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:46,5,5,0,0,Team L,25,Incomplete Play,57.0,-39.5,Indirect,,0,0,21,-11.0,-34.5
2025-10-17,Team L,Team F,1,19:43,5,5,0,0,Team F,42,Puck Recovery,-29.0,-27.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:42,5,5,0,0,Team F,42,Play,-56.0,-22.5,Direct,,0,0,29,-39.0,-39.5
2025-10-17,Team L,Team F,1,19:39,5,5,0,0,Team F,29,Play,-77.0,-37.5,Indirect,,0,0,26,-3.0,31.5
2025-10-17,Team L,Team F,1,19:36,5,5,0,0,Team F,26,Incomplete Play,-9.0,32.5,Direct,,0,0,11,14.0,13.5
2025-10-17,Team L,Team F,1,19:35,5,5,0,0,Team L,21,Takeaway,6.0,18.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:34,5,5,0,0,Team F,8,Takeaway,-2.0,20.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:34,5,5,0,0,Team L,21,Incomplete Play,5.0,27.5,Direct,,0,0,25,-4.0,-6.5
2025-10-17,Team L,Team F,1,19:33,5,5,0,0,Team F,8,Dump In/Out,1.0,1.5,Lost,,0,0,,,
2025-10-17,Team L,Team F,1,19:28,5,5,0,0,Team F,38,Faceoff Win,69.0,-21.5,Backhand,,0,0,14,,
2025-10-17,Team L,Team F,1,19:27,5,5,0,0,Team F,6,Puck Recovery,30.0,-38.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:27,5,5,0,0,Team F,6,Shot,33.0,-35.5,Wristshot,On Net,1,0,,,
2025-10-17,Team L,Team F,1,19:25,5,5,0,0,Team F,27,Puck Recovery,78.0,2.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:25,5,5,0,0,Team F,27,Goal,78.0,2.5,Snapshot,On Net,0,0,,,
2025-10-17,Team L,Team F,1,19:24,5,5,0,1,Team L,20,Faceoff Win,0.0,0.5,Forehand,,0,0,21,,
2025-10-17,Team L,Team F,1,19:23,5,5,0,1,Team L,29,Puck Recovery,18.0,32.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:22,5,5,0,1,Team L,29,Play,5.0,36.5,Indirect,,0,0,17,-44.0,36.5
2025-10-17,Team L,Team F,1,19:20,5,5,0,1,Team L,29,Zone Entry,-26.0,39.5,Played,,0,0,23,,
2025-10-17,Team L,Team F,1,19:19,5,5,0,1,Team L,17,Play,-80.0,35.5,Indirect,,0,0,4,-35.0,-40.5
2025-10-17,Team L,Team F,1,19:16,5,5,0,1,Team L,4,Shot,-31.0,-36.5,Wristshot,Missed,0,0,,,
2025-10-17,Team L,Team F,1,19:11,5,5,0,1,Team F,23,Puck Recovery,-73.0,42.5,,,0,0,,,
2025-10-17,Team L,Team F,1,19:11,5,5,0,1,Team F,23,Play,-73.0,42.5,Indirect,,0,0,6,-99.0,-18.5
2025-10-17,Team L,Team F,1,19:07,5,5,0,1,Team F,6,Play,-87.0,-36.5,Indirect,,0,0,21,1.0,-40.5
2025-10-17,Team L,Team F,1,19:04,5,5,0,1,Team F,21,Play,4.0,-39.5,Direct,,0,0,46,21.0,-27.5
2025-10-17,Team L,Team F,1,19:04,5,5,0,1,Team F,46,Zone Entry,24.0,-23.5,Carried,,0,0,29,,
2025-10-17,Team L,Team F,1,19:01,5,5,0,1,Team F,46,Play,38.0,6.5,Direct,,0,0,22,38.0,-25.5
2025-10-17,Team L,Team F,1,18:59,5,5,0,1,Team F,22,Shot,75.0,-18.5,Wristshot,Missed,0,0,,,
2025-10-17,Team L,Team F,1,18:56,5,5,0,1,Team F,93,Puck Recovery,30.0,42.5,,,0,0,,,
2025-10-17,Team L,Team F,1,18:55,5,5,0,1,Team F,93,Play,30.0,42.5,Indirect,,0,0,21,97.0,16.5
2025-10-17,Team L,Team F,1,18:52,5,5,0,1,Team F,21,Play,92.0,29.5,Direct,,0,0,22,70.0,38.5
2025-10-17,Team L,Team F,1,18:50,5,5,0,1,Team F,22,Incomplete Play,53.0,38.5,Direct,,0,0,48,55.0,-31.5
2025-10-17,Team L,Team F,1,18:49,5,5,0,1,Team L,8,Puck Recovery,59.0,6.5,,,0,0,,,
2025-10-17,Team L,Team F,1,18:45,5,5,0,1,Team L,8,Play,7.0,2.5,Direct,,0,0,17,-11.0,37.5
2025-10-17,Team L,Team F,1,18:44,5,5,0,1,Team L,17,Zone Entry,-27.0,37.5,Carried,,0,0,93,,
2025-10-17,Team L,Team F,1,18:43,5,5,0,1,Team L,17,Incomplete Play,-37.0,39.5,Direct,,0,0,8,-60.0,16.5
2025-10-17,Team L,Team F,1,18:42,5,5,0,1,Team F,Go,Play,-86.0,-5.5,Direct,,0,0,22,-51.0,-33.5
2025-10-17,Team L,Team F,1,18:42,5,5,0,1,Team F,Go,Puck Recovery,-86.0,-5.5,,,0,0,,,
2025-10-17,Team L,Team F,1,18:37,5,5,0,1,Team F,48,Puck Recovery,-56.0,-38.5,,,0,0,,,
2025-10-17,Team L,Team F,1,18:36,5,5,0,1,Team F,48,Play,-56.0,-38.5,Indirect,,0,0,22,-28.0,-39.5
2025-10-17,Team L,Team F,1,18:33,5,5,0,1,Team F,22,Play,23.0,-25.5,Direct,,0,0,46,31.0,-39.5
2025-10-17,Team L,Team F,1,18:32,5,5,0,1,Team F,22,Zone Entry,25.0,-28.5,Played,,0,0,6,,
2025-10-17,Team L,Team F,1,18:32,5,5,0,1,Team F,46,Incomplete Play,32.0,-38.5,Indirect,,0,0,22,90.0,-11.5
2025-10-17,Team L,Team F,1,18:29,5,5,0,1,Team L,3,Puck Recovery,97.0,6.5,,,0,0,,,
2025-10-17,Team L,Team F,1,18:28,5,5,0,1,Team L,3,Play,90.0,26.5,Direct,,0,0,14,45.0,4.5
2025-10-17,Team L,Team F,1,18:26,5,5,0,1,Team L,14,Play,35.0,16.5,Direct,,0,0,3,40.0,23.5
2025-10-17,Team L,Team F,1,18:24,5,5,0,1,Team L,3,Incomplete Play,-5.0,-0.5,Indirect,,0,0,36,-37.0,-37.5
2025-10-17,Team L,Team F,1,18:23,5,5,0,1,Team L,3,Zone Entry,-25.0,-31.5,Played,,0,0,48,,
2025-10-17,Team L,Team F,1,18:23,5,5,0,1,Team F,48,Takeaway,-37.0,-37.5,,,0,0,,,
2025-10-17,Team L,Team F,1,18:18,5,5,0,1,Team F,48,Play,-96.0,-5.5,Direct,,0,0,18,-57.0,-37.5
