Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-10-17,Team L,Team F,Team L,16,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team L,21,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team L,25,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team L,24,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team L,Go,1,1,20:00,00:00,20:00
2025-10-17,Team L,Team F,Team L,10,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team F,42,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team F,8,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team F,26,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team F,Go,1,1,20:00,00:00,20:00
2025-10-17,Team L,Team F,Team F,11,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team F,29,1,1,20:00,19:28,00:32
2025-10-17,Team L,Team F,Team L,29,1,1,19:28,18:44,00:44
2025-10-17,Team L,Team F,Team L,14,1,1,19:28,19:24,00:04
2025-10-17,Team L,Team F,Team L,28,1,1,19:28,19:24,00:04
2025-10-17,Team L,Team F,Team L,36,1,1,19:28,19:24,00:04
2025-10-17,Team L,Team F,Team L,4,1,1,19:28,18:44,00:44
2025-10-17,Team L,Team F,Team F,6,1,1,19:28,19:01,00:27
2025-10-17,Team L,Team F,Team F,72,1,1,19:28,19:24,00:04
2025-10-17,Team L,Team F,Team F,23,1,1,19:28,19:01,00:27
2025-10-17,Team L,Team F,Team F,38,1,1,19:28,19:24,00:04
2025-10-17,Team L,Team F,Team F,27,1,1,19:28,19:24,00:04
2025-10-17,Team L,Team F,Team L,17,1,1,19:24,18:41,00:43
2025-10-17,Team L,Team F,Team L,8,1,1,19:24,18:34,00:50
2025-10-17,Team L,Team F,Team L,20,1,1,19:24,18:44,00:40
2025-10-17,Team L,Team F,Team F,46,1,1,19:24,18:25,00:59
2025-10-17,Team L,Team F,Team F,22,1,1,19:24,18:23,01:01
2025-10-17,Team L,Team F,Team F,21,1,1,19:24,18:34,00:50
2025-10-17,Team L,Team F,Team F,93,1,1,19:01,18:11,00:50
2025-10-17,Team L,Team F,Team F,48,1,1,19:01,18:11,00:50
2025-10-17,Team L,Team F,Team L,14,2,1,18:44,17:53,00:51
2025-10-17,Team L,Team F,Team L,3,1,1,18:44,17:53,00:51
2025-10-17,Team L,Team F,Team L,6,1,1,18:44,17:53,00:51
2025-10-17,Team L,Team F,Team L,36,2,1,18:41,17:53,00:48
2025-10-17,Team L,Team F,Team L,28,2,1,18:34,17:53,00:41
2025-10-17,Team L,Team F,Team F,43,1,1,18:34,17:53,00:41
2025-10-17,Team L,Team F,Team F,10,1,1,18:25,17:53,00:32
2025-10-17,Team L,Team F,Team F,18,1,1,18:23,17:53,00:30
2025-10-17,Team L,Team F,Team F,42,2,1,18:11,17:53,00:18
2025-10-17,Team L,Team F,Team F,29,2,1,18:11,17:53,00:18
2025-10-17,Team L,Team F,Team L,29,2,1,17:53,17:38,00:15
2025-10-17,Team L,Team F,Team L,15,1,1,17:53,17:38,00:15
2025-10-17,Team L,Team F,Team L,26,1,1,17:53,17:38,00:15
2025-10-17,Team L,Team F,Team L,4,2,1,17:53,15:35,02:18
2025-10-17,Team L,Team F,Team L,18,1,1,17:53,17:38,00:15
2025-10-17,Team L,Team F,Team F,6,2,1,17:53,16:41,01:12
2025-10-17,Team L,Team F,Team F,8,2,1,17:53,17:38,00:15
2025-10-17,Team L,Team F,Team F,26,2,1,17:53,17:38,00:15
2025-10-17,Team L,Team F,Team F,23,2,1,17:53,16:41,01:12
2025-10-17,Team L,Team F,Team F,11,2,1,17:53,17:03,00:50
2025-10-17,Team L,Team F,Team L,16,2,1,17:38,16:41,00:57
2025-10-17,Team L,Team F,Team L,21,2,1,17:38,16:34,01:04
2025-10-17,Team L,Team F,Team L,25,2,1,17:38,16:41,00:57
2025-10-17,Team L,Team F,Team L,20,2,1,17:38,16:39,00:59
2025-10-17,Team L,Team F,Team F,38,2,1,17:38,17:03,00:35
2025-10-17,Team L,Team F,Team F,46,2,1,17:03,16:41,00:22
2025-10-17,Team L,Team F,Team F,26,3,1,17:03,16:34,00:29
