Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-10-24,Team A,Team B,1,20:00,5,5,0,0,Team B,17,Faceoff Win,0.0,0.5,Backhand,,0,0,21,,
2025-10-24,Team A,Team B,1,19:59,5,5,0,0,Team B,27,Puck Recovery,-23.0,11.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:58,5,5,0,0,Team B,27,Play,-28.0,19.5,Indirect,,0,0,26,10.0,38.5
2025-10-24,Team A,Team B,1,19:57,5,5,0,0,Team B,26,Dump In/Out,10.0,38.5,Lost,,0,0,,,
2025-10-24,Team A,Team B,1,19:57,5,5,0,0,Team B,26,Zone Entry,24.0,36.5,Dumped,,0,0,90,,
2025-10-24,Team A,Team B,1,19:54,5,5,0,0,Team A,21,Puck Recovery,61.0,29.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:54,5,5,0,0,Team A,21,Play,80.0,31.5,Indirect,,0,0,20,65.0,-39.5
2025-10-24,Team A,Team B,1,19:50,5,5,0,0,Team A,20,Dump In/Out,65.0,-39.5,Lost,,0,0,,,
2025-10-24,Team A,Team B,1,19:48,5,5,0,0,Team B,27,Puck Recovery,-4.0,-13.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:47,5,5,0,0,Team B,27,Dump In/Out,0.0,12.5,Lost,,0,0,,,
2025-10-24,Team A,Team B,1,19:46,5,5,0,0,Team B,27,Zone Entry,25.0,24.5,Dumped,,0,0,90,,
2025-10-24,Team A,Team B,1,19:44,5,5,0,0,Team A,48,Puck Recovery,80.0,-40.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:43,5,5,0,0,Team A,48,Play,93.0,-27.5,Indirect,,0,0,52,72.0,42.5
2025-10-24,Team A,Team B,1,19:39,5,5,0,0,Team A,52,Incomplete Play,75.0,40.5,Indirect,,0,0,21,69.0,21.5
2025-10-24,Team A,Team B,1,19:38,5,5,0,0,Team B,26,Takeaway,64.0,40.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:36,5,5,0,0,Team B,26,Incomplete Play,48.0,40.5,Indirect,,0,0,78,47.0,41.5
2025-10-24,Team A,Team B,1,19:35,5,5,0,0,Team A,90,Puck Recovery,66.0,39.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:34,5,5,0,0,Team A,90,Play,79.0,38.5,Indirect,,0,0,48,92.0,-22.5
2025-10-24,Team A,Team B,1,19:32,5,5,0,0,Team A,48,Play,87.0,-28.5,Direct,,0,0,20,38.0,-38.5
2025-10-24,Team A,Team B,1,19:30,5,5,0,0,Team A,20,Play,38.0,-38.5,Direct,,0,0,21,17.0,-16.5
2025-10-24,Team A,Team B,1,19:27,5,5,0,0,Team A,21,Zone Entry,-25.0,3.5,Carried,,0,0,27,,
2025-10-24,Team A,Team B,1,19:27,5,5,0,0,Team B,34,Puck Recovery,-42.0,11.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:27,5,5,0,0,Team B,34,Dump In/Out,-42.0,11.5,Lost,,0,0,,,
2025-10-24,Team A,Team B,1,19:24,5,5,0,0,Team A,21,Puck Recovery,-16.0,41.5,,,0,0,,,
2025-10-24,Team A,Team B,1,19:24,5,5,0,0,Team A,21,Zone Entry,-25.0,41.5,Dumped,,0,0,27,,
