Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-10-24,Team A,Team B,Team A,52,1,1,20:00,19:08,00:52
2025-10-24,Team A,Team B,Team A,21,1,1,20:00,19:23,00:37
2025-10-24,Team A,Team B,Team A,48,1,1,20:00,19:23,00:37
2025-10-24,Team A,Team B,Team A,20,1,1,20:00,19:13,00:47
2025-10-24,Team A,Team B,Team A,Go,1,1,20:00,00:00,20:00
2025-10-24,Team A,Team B,Team A,90,1,1,20:00,19:23,00:37
2025-10-24,Team A,Team B,Team B,26,1,1,20:00,19:30,00:30
2025-10-24,Team A,Team B,Team B,45,1,1,20:00,19:05,00:55
2025-10-24,Team A,Team B,Team B,78,1,1,20:00,19:23,00:37
2025-10-24,Team A,Team B,Team B,27,1,1,20:00,19:10,00:50
2025-10-24,Team A,Team B,Team B,17,1,1,20:00,19:23,00:37
2025-10-24,Team A,Team B,Team B,Go,1,1,20:00,00:00,20:00
2025-10-24,Team A,Team B,Team B,34,1,1,19:30,18:35,00:55
2025-10-24,Team A,Team B,Team A,29,1,1,19:23,18:35,00:48
2025-10-24,Team A,Team B,Team A,72,1,1,19:23,18:27,00:56
2025-10-24,Team A,Team B,Team A,45,1,1,19:23,18:27,00:56
2025-10-24,Team A,Team B,Team B,21,1,1,19:23,18:35,00:48
2025-10-24,Team A,Team B,Team B,8,1,1,19:23,18:27,00:56
2025-10-24,Team A,Team B,Team A,92,1,1,19:13,18:27,00:46
2025-10-24,Team A,Team B,Team B,58,1,1,19:10,18:27,00:43
2025-10-24,Team A,Team B,Team A,73,1,1,19:08,18:35,00:33
2025-10-24,Team A,Team B,Team B,55,1,1,19:05,18:27,00:38
2025-10-24,Team A,Team B,Team A,17,1,1,18:35,18:27,00:08
2025-10-24,Team A,Team B,Team A,15,1,1,18:35,18:27,00:08
2025-10-24,Team A,Team B,Team B,14,1,1,18:35,18:27,00:08
2025-10-24,Team A,Team B,Team B,71,1,1,18:35,18:27,00:08
2025-10-24,Team A,Team B,Team A,17,2,1,18:27,17:53,00:34
2025-10-24,Team A,Team B,Team A,3,1,1,18:27,18:00,00:27
2025-10-24,Team A,Team B,Team A,15,2,1,18:27,17:50,00:37
2025-10-24,Team A,Team B,Team A,59,1,1,18:27,18:00,00:27
2025-10-24,Team A,Team B,Team A,46,1,1,18:27,17:50,00:37
2025-10-24,Team A,Team B,Team B,14,2,1,18:27,17:40,00:47
2025-10-24,Team A,Team B,Team B,81,1,1,18:27,17:40,00:47
2025-10-24,Team A,Team B,Team B,71,2,1,18:27,18:10,00:17
2025-10-24,Team A,Team B,Team B,19,1,1,18:27,17:40,00:47
2025-10-24,Team A,Team B,Team B,12,1,1,18:27,17:40,00:47
2025-10-24,Team A,Team B,Team B,86,1,1,18:10,17:31,00:39
2025-10-24,Team A,Team B,Team A,48,2,1,18:00,17:24,00:36
2025-10-24,Team A,Team B,Team A,90,2,1,18:00,17:24,00:36
2025-10-24,Team A,Team B,Team A,61,1,1,17:53,17:24,00:29
2025-10-24,Team A,Team B,Team A,89,1,1,17:50,17:24,00:26
2025-10-24,Team A,Team B,Team A,71,1,1,17:50,17:24,00:26
2025-10-24,Team A,Team B,Team B,47,1,1,17:40,17:24,00:16
2025-10-24,Team A,Team B,Team B,37,1,1,17:40,17:24,00:16
2025-10-24,Team A,Team B,Team B,55,2,1,17:40,17:24,00:16
2025-10-24,Team A,Team B,Team B,58,2,1,17:40,17:24,00:16
2025-10-24,Team A,Team B,Team B,26,2,1,17:31,17:24,00:07
2025-10-24,Team A,Team B,Team A,52,2,1,17:24,16:53,00:31
2025-10-24,Team A,Team B,Team A,21,2,1,17:24,16:53,00:31
2025-10-24,Team A,Team B,Team A,20,2,1,17:24,16:53,00:31
2025-10-24,Team A,Team B,Team A,72,2,1,17:24,16:53,00:31
2025-10-24,Team A,Team B,Team A,45,2,1,17:24,16:53,00:31
2025-10-24,Team A,Team B,Team B,26,3,1,17:24,16:44,00:40
2025-10-24,Team A,Team B,Team B,55,3,1,17:24,16:44,00:40
2025-10-24,Team A,Team B,Team B,78,2,1,17:24,16:44,00:40
2025-10-24,Team A,Team B,Team B,17,2,1,17:24,16:44,00:40
2025-10-24,Team A,Team B,Team B,58,3,1,17:24,16:44,00:40
2025-10-24,Team A,Team B,Team A,17,3,1,16:53,16:18,00:35
2025-10-24,Team A,Team B,Team A,3,2,1,16:53,16:26,00:27
2025-10-24,Team A,Team B,Team A,15,3,1,16:53,16:18,00:35
2025-10-24,Team A,Team B,Team A,59,2,1,16:53,16:26,00:27
2025-10-24,Team A,Team B,Team A,46,2,1,16:53,16:26,00:27
2025-10-24,Team A,Team B,Team B,21,2,1,16:44,16:13,00:31
2025-10-24,Team A,Team B,Team B,45,2,1,16:44,16:13,00:31
2025-10-24,Team A,Team B,Team B,27,2,1,16:44,16:13,00:31
2025-10-24,Team A,Team B,Team B,8,2,1,16:44,16:13,00:31
2025-10-24,Team A,Team B,Team B,34,2,1,16:44,16:13,00:31
2025-10-24,Team A,Team B,Team A,73,2,1,16:26,15:45,00:41
2025-10-24,Team A,Team B,Team A,48,3,1,16:26,15:45,00:41
2025-10-24,Team A,Team B,Team A,90,3,1,16:26,15:45,00:41
2025-10-24,Team A,Team B,Team A,29,2,1,16:18,15:45,00:33
2025-10-24,Team A,Team B,Team A,92,2,1,16:18,15:45,00:33
2025-10-24,Team A,Team B,Team B,14,3,1,16:13,15:03,01:10
2025-10-24,Team A,Team B,Team B,81,2,1,16:13,15:12,01:01
2025-10-24,Team A,Team B,Team B,71,3,1,16:13,15:12,01:01
2025-10-24,Team A,Team B,Team B,19,2,1,16:13,15:12,01:01
2025-10-24,Team A,Team B,Team B,12,2,1,16:13,15:12,01:01
2025-10-24,Team A,Team B,Team A,61,2,1,15:45,15:03,00:42
2025-10-24,Team A,Team B,Team A,89,2,1,15:45,15:03,00:42
2025-10-24,Team A,Team B,Team A,71,2,1,15:45,14:59,00:46
2025-10-24,Team A,Team B,Team A,72,3,1,15:45,14:47,00:58
2025-10-24,Team A,Team B,Team A,45,3,1,15:45,14:47,00:58
2025-10-24,Team A,Team B,Team B,86,2,1,15:12,14:23,00:49
2025-10-24,Team A,Team B,Team B,37,2,1,15:12,14:12,01:00
2025-10-24,Team A,Team B,Team B,55,4,1,15:12,14:07,01:05
2025-10-24,Team A,Team B,Team B,58,4,1,15:12,14:07,01:05
2025-10-24,Team A,Team B,Team A,52,3,1,15:03,13:54,01:09
2025-10-24,Team A,Team B,Team A,20,3,1,15:03,14:07,00:56
2025-10-24,Team A,Team B,Team B,47,2,1,15:03,14:23,00:40
2025-10-24,Team A,Team B,Team A,21,3,1,14:59,14:10,00:49
2025-10-24,Team A,Team B,Team A,3,3,1,14:47,13:54,00:53
2025-10-24,Team A,Team B,Team A,59,3,1,14:47,13:54,00:53
2025-10-24,Team A,Team B,Team B,26,4,1,14:23,13:54,00:29
2025-10-24,Team A,Team B,Team B,17,3,1,14:23,13:54,00:29
2025-10-24,Team A,Team B,Team B,78,3,1,14:12,13:54,00:18
2025-10-24,Team A,Team B,Team A,15,4,1,14:10,13:54,00:16
2025-10-24,Team A,Team B,Team A,46,3,1,14:07,13:54,00:13
2025-10-24,Team A,Team B,Team B,45,3,1,14:07,13:54,00:13
2025-10-24,Team A,Team B,Team B,27,3,1,14:07,13:54,00:13
2025-10-24,Team A,Team B,Team A,17,4,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team A,48,4,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team A,15,5,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team A,90,4,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team A,46,4,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team B,26,5,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team B,45,4,1,13:54,13:02,00:52
2025-10-24,Team A,Team B,Team B,78,4,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team B,27,4,1,13:54,13:02,00:52
2025-10-24,Team A,Team B,Team B,17,4,1,13:54,13:13,00:41
2025-10-24,Team A,Team B,Team A,73,3,1,13:13,12:29,00:44
2025-10-24,Team A,Team B,Team A,29,3,1,13:13,12:29,00:44
2025-10-24,Team A,Team B,Team A,72,4,1,13:13,12:09,01:04
2025-10-24,Team A,Team B,Team A,45,4,1,13:13,12:09,01:04
2025-10-24,Team A,Team B,Team A,92,3,1,13:13,12:29,00:44
2025-10-24,Team A,Team B,Team B,21,3,1,13:13,12:24,00:49
2025-10-24,Team A,Team B,Team B,8,3,1,13:13,12:27,00:46
2025-10-24,Team A,Team B,Team B,34,3,1,13:13,12:34,00:39
2025-10-24,Team A,Team B,Team B,19,3,1,13:02,11:40,01:22
2025-10-24,Team A,Team B,Team B,12,3,1,13:02,11:40,01:22
