Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-10-24,Team D,Team E,1,20:00,5,5,0,0,Team D,77,Faceoff Win,0.0,0.5,Backhand,,0,0,10,,
2025-10-24,Team D,Team E,1,19:58,5,5,0,0,Team D,50,Puck Recovery,-11.0,1.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:58,5,5,0,0,Team D,50,Play,-11.0,1.5,Direct,,0,0,84,-69.0,-0.5
2025-10-24,Team D,Team E,1,19:55,5,5,0,0,Team D,84,Play,-75.0,3.5,Direct,,0,0,51,-50.0,33.5
2025-10-24,Team D,Team E,1,19:52,5,5,0,0,Team D,51,Play,-37.0,36.5,Direct,,0,0,77,13.0,26.5
2025-10-24,Team D,Team E,1,19:51,5,5,0,0,Team D,77,Play,15.0,26.5,Direct,,0,0,75,36.0,36.5
2025-10-24,Team D,Team E,1,19:50,5,5,0,0,Team D,77,Zone Entry,24.0,28.5,Played,,0,0,2,,
2025-10-24,Team D,Team E,1,19:49,5,5,0,0,Team D,75,Shot,60.0,39.5,Snapshot,On Net,0,0,,,
2025-10-24,Team D,Team E,1,19:48,5,5,0,0,Team D,75,Puck Recovery,67.0,40.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:42,5,5,0,0,Team D,75,Shot,82.0,-10.5,Wristshot,Missed,0,0,,,
2025-10-24,Team D,Team E,1,19:39,5,5,0,0,Team D,51,Play,37.0,39.5,Direct,,0,0,77,51.0,39.5
2025-10-24,Team D,Team E,1,19:39,5,5,0,0,Team D,51,Puck Recovery,36.0,38.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:37,5,5,0,0,Team D,77,Play,54.0,40.5,Indirect,,0,0,75,97.0,2.5
2025-10-24,Team D,Team E,1,19:34,5,5,0,0,Team D,75,Play,95.0,-6.5,Indirect,,0,0,84,37.0,-30.5
2025-10-24,Team D,Team E,1,19:31,5,5,0,0,Team D,84,Shot,36.0,-5.5,Wristshot,Blocked,1,0,,,
2025-10-24,Team D,Team E,1,19:29,5,5,0,0,Team E,25,Puck Recovery,75.0,-0.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:29,5,5,0,0,Team E,25,Incomplete Play,75.0,-0.5,Indirect,,0,0,5,73.0,-14.5
2025-10-24,Team D,Team E,1,19:28,5,5,0,0,Team D,77,Puck Recovery,68.0,-28.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:28,5,5,0,0,Team D,77,Shot,68.0,-28.5,Slapshot,Missed,1,0,,,
2025-10-24,Team D,Team E,1,19:22,5,5,0,0,Team E,25,Puck Recovery,-13.0,40.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:21,5,5,0,0,Team E,25,Zone Entry,-25.0,40.5,Carried,,0,0,84,,
2025-10-24,Team D,Team E,1,19:20,5,5,0,0,Team E,25,Play,-69.0,31.5,Direct,,0,0,19,-74.0,-5.5
2025-10-24,Team D,Team E,1,19:17,5,5,0,0,Team D,84,Puck Recovery,-96.0,-9.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:14,5,5,0,0,Team D,84,Dump In/Out,-69.0,-41.5,Lost,,0,0,,,
2025-10-24,Team D,Team E,1,19:10,5,5,0,0,Team E,6,Puck Recovery,64.0,-28.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:06,5,5,0,0,Team E,6,Play,38.0,13.5,Indirect,,0,0,21,-36.0,37.5
2025-10-24,Team D,Team E,1,19:05,5,5,0,0,Team E,6,Zone Entry,-26.0,37.5,Played,,0,0,78,,
2025-10-24,Team D,Team E,1,19:03,5,5,0,0,Team E,21,Play,-48.0,39.5,Direct,,0,0,22,-63.0,13.5
2025-10-24,Team D,Team E,1,19:02,5,5,0,0,Team D,52,Incomplete Play,-68.0,21.5,Direct,,0,0,36,-57.0,23.5
2025-10-24,Team D,Team E,1,19:02,5,5,0,0,Team D,52,Puck Recovery,-68.0,21.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:01,5,5,0,0,Team D,36,Puck Recovery,-48.0,35.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:01,5,5,0,0,Team D,36,Incomplete Play,-48.0,35.5,Direct,,0,0,42,-42.0,29.5
2025-10-24,Team D,Team E,1,19:00,5,5,0,0,Team E,6,Takeaway,-46.0,37.5,,,0,0,,,
2025-10-24,Team D,Team E,1,19:00,5,5,0,0,Team E,6,Play,-48.0,35.5,Indirect,,0,0,22,-99.0,0.5
2025-10-24,Team D,Team E,1,18:58,5,5,0,0,Team E,22,Play,-97.0,-7.5,Direct,,0,0,12,-80.0,-23.5
2025-10-24,Team D,Team E,1,18:57,5,5,0,0,Team E,12,Shot,-79.0,-25.5,Wristshot,On Net,1,0,,,
2025-10-24,Team D,Team E,1,18:56,5,5,0,0,Team E,21,Puck Recovery,-86.0,2.5,,,0,0,,,
2025-10-24,Team D,Team E,1,18:56,5,5,0,0,Team E,21,Shot,-86.0,2.5,Snapshot,On Net,0,0,,,
2025-10-24,Team D,Team E,1,18:54,5,5,0,0,Team D,12,Faceoff Win,-69.0,22.5,Backhand,,0,0,22,,
2025-10-24,Team D,Team E,1,18:53,5,5,0,0,Team D,36,Puck Recovery,-66.0,23.5,,,0,0,,,
2025-10-24,Team D,Team E,1,18:52,5,5,0,0,Team D,36,Play,-66.0,23.5,Indirect,,0,0,52,-97.0,18.5
