Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-10-24,Team D,Team E,Team D,84,1,1,20:00,19:06,00:54
2025-10-24,Team D,Team E,Team D,Go,1,1,20:00,17:39,02:21
2025-10-24,Team D,Team E,Team D,50,1,1,20:00,19:06,00:54
2025-10-24,Team D,Team E,Team D,77,1,1,20:00,19:06,00:54
2025-10-24,Team D,Team E,Team D,51,1,1,20:00,19:06,00:54
2025-10-24,Team D,Team E,Team D,75,1,1,20:00,19:06,00:54
2025-10-24,Team D,Team E,Team E,25,1,1,20:00,19:12,00:48
2025-10-24,Team D,Team E,Team E,Go,1,1,20:00,00:00,20:00
2025-10-24,Team D,Team E,Team E,2,1,1,20:00,19:17,00:43
2025-10-24,Team D,Team E,Team E,10,1,1,20:00,19:05,00:55
2025-10-24,Team D,Team E,Team E,5,1,1,20:00,19:17,00:43
2025-10-24,Team D,Team E,Team E,19,1,1,20:00,19:05,00:55
2025-10-24,Team D,Team E,Team E,7,1,1,19:17,18:14,01:03
2025-10-24,Team D,Team E,Team E,6,1,1,19:17,18:14,01:03
2025-10-24,Team D,Team E,Team E,12,1,1,19:12,18:14,00:58
2025-10-24,Team D,Team E,Team D,42,1,1,19:06,18:14,00:52
2025-10-24,Team D,Team E,Team D,52,1,1,19:06,18:14,00:52
2025-10-24,Team D,Team E,Team D,12,1,1,19:06,18:14,00:52
2025-10-24,Team D,Team E,Team D,78,1,1,19:06,18:14,00:52
2025-10-24,Team D,Team E,Team D,36,1,1,19:06,18:14,00:52
2025-10-24,Team D,Team E,Team E,21,1,1,19:05,18:14,00:51
2025-10-24,Team D,Team E,Team E,22,1,1,19:05,18:14,00:51
2025-10-24,Team D,Team E,Team D,44,1,1,18:14,17:20,00:54
2025-10-24,Team D,Team E,Team D,46,1,1,18:14,17:20,00:54
2025-10-24,Team D,Team E,Team D,8,1,1,18:14,17:30,00:44
2025-10-24,Team D,Team E,Team D,28,1,1,18:14,17:30,00:44
2025-10-24,Team D,Team E,Team D,74,1,1,18:14,17:20,00:54
2025-10-24,Team D,Team E,Team E,11,1,1,18:14,17:20,00:54
2025-10-24,Team D,Team E,Team E,38,1,1,18:14,17:28,00:46
2025-10-24,Team D,Team E,Team E,18,1,1,18:14,17:31,00:43
2025-10-24,Team D,Team E,Team E,37,1,1,18:14,17:28,00:46
2025-10-24,Team D,Team E,Team E,16,1,1,18:14,17:20,00:54
2025-10-24,Team D,Team E,Team D,36,2,1,17:39,17:20,00:19
2025-10-24,Team D,Team E,Team E,28,1,1,17:31,17:20,00:11
2025-10-24,Team D,Team E,Team D,25,1,1,17:30,17:20,00:10
2025-10-24,Team D,Team E,Team D,37,1,1,17:30,17:20,00:10
2025-10-24,Team D,Team E,Team E,2,2,1,17:28,16:01,01:27
2025-10-24,Team D,Team E,Team E,5,2,1,17:28,16:01,01:27
2025-10-24,Team D,Team E,Team D,42,2,1,17:20,15:55,01:25
2025-10-24,Team D,Team E,Team D,Go,2,1,17:20,00:00,17:20
2025-10-24,Team D,Team E,Team D,77,2,1,17:20,16:02,01:18
2025-10-24,Team D,Team E,Team D,51,2,1,17:20,16:02,01:18
2025-10-24,Team D,Team E,Team D,75,2,1,17:20,16:02,01:18
2025-10-24,Team D,Team E,Team D,36,3,1,17:20,16:02,01:18
2025-10-24,Team D,Team E,Team E,28,2,1,17:20,16:06,01:14
2025-10-24,Team D,Team E,Team E,10,2,1,17:20,16:01,01:19
2025-10-24,Team D,Team E,Team E,12,2,1,16:06,15:10,00:56
2025-10-24,Team D,Team E,Team D,52,2,1,16:02,15:02,01:00
2025-10-24,Team D,Team E,Team D,12,2,1,16:02,15:08,00:54
2025-10-24,Team D,Team E,Team D,84,2,1,16:02,15:08,00:54
2025-10-24,Team D,Team E,Team D,28,2,1,16:02,15:11,00:51
2025-10-24,Team D,Team E,Team E,37,2,1,16:01,15:10,00:51
2025-10-24,Team D,Team E,Team E,22,2,1,16:01,15:31,00:30
2025-10-24,Team D,Team E,Team E,6,2,1,16:01,15:10,00:51
2025-10-24,Team D,Team E,Team D,46,2,1,15:55,15:08,00:47
2025-10-24,Team D,Team E,Team E,25,2,1,15:31,14:40,00:51
2025-10-24,Team D,Team E,Team E,38,2,1,15:20,15:10,00:10
2025-10-24,Team D,Team E,Team D,25,2,1,15:11,14:28,00:43
2025-10-24,Team D,Team E,Team E,21,2,1,15:10,14:27,00:43
2025-10-24,Team D,Team E,Team E,6,3,1,15:10,14:43,00:27
2025-10-24,Team D,Team E,Team E,5,3,1,15:10,14:18,00:52
2025-10-24,Team D,Team E,Team E,19,2,1,15:10,14:08,01:02
2025-10-24,Team D,Team E,Team D,59,1,1,15:08,14:28,00:40
2025-10-24,Team D,Team E,Team D,37,2,1,15:08,14:30,00:38
2025-10-24,Team D,Team E,Team D,74,2,1,15:08,14:28,00:40
2025-10-24,Team D,Team E,Team D,44,2,1,15:02,14:28,00:34
2025-10-24,Team D,Team E,Team E,2,3,1,14:43,14:18,00:25
2025-10-24,Team D,Team E,Team E,39,1,1,14:40,13:56,00:44
2025-10-24,Team D,Team E,Team D,75,3,1,14:30,13:43,00:47
2025-10-24,Team D,Team E,Team D,52,3,1,14:28,13:03,01:25
2025-10-24,Team D,Team E,Team D,50,2,1,14:28,13:30,00:58
2025-10-24,Team D,Team E,Team D,77,3,1,14:28,13:43,00:45
2025-10-24,Team D,Team E,Team D,74,3,1,14:28,13:42,00:46
2025-10-24,Team D,Team E,Team E,15,1,1,14:27,13:29,00:58
2025-10-24,Team D,Team E,Team E,7,2,1,14:18,13:19,00:59
2025-10-24,Team D,Team E,Team E,6,4,1,14:18,13:19,00:59
2025-10-24,Team D,Team E,Team E,28,3,1,14:08,13:21,00:47
2025-10-24,Team D,Team E,Team E,11,2,1,13:56,12:50,01:06
2025-10-24,Team D,Team E,Team D,12,3,1,13:43,12:50,00:53
2025-10-24,Team D,Team E,Team D,36,4,1,13:43,12:52,00:51
2025-10-24,Team D,Team E,Team D,78,2,1,13:42,12:52,00:50
2025-10-24,Team D,Team E,Team D,42,3,1,13:30,12:50,00:40
2025-10-24,Team D,Team E,Team E,16,2,1,13:29,12:28,01:01
2025-10-24,Team D,Team E,Team E,18,2,1,13:21,12:31,00:50
2025-10-24,Team D,Team E,Team E,38,3,1,13:19,12:44,00:35
2025-10-24,Team D,Team E,Team E,37,3,1,13:19,12:44,00:35
2025-10-24,Team D,Team E,Team D,51,3,1,13:03,12:02,01:01
2025-10-24,Team D,Team E,Team D,84,3,1,12:52,12:02,00:50
2025-10-24,Team D,Team E,Team D,46,3,1,12:52,12:02,00:50
2025-10-24,Team D,Team E,Team D,8,2,1,12:50,12:05,00:45
2025-10-24,Team D,Team E,Team D,28,3,1,12:50,12:08,00:42
2025-10-24,Team D,Team E,Team E,22,3,1,12:50,12:02,00:48
2025-10-24,Team D,Team E,Team E,2,4,1,12:44,12:02,00:42
2025-10-24,Team D,Team E,Team E,5,4,1,12:44,12:02,00:42
2025-10-24,Team D,Team E,Team E,21,3,1,12:31,12:02,00:29
2025-10-24,Team D,Team E,Team E,12,3,1,12:28,12:02,00:26
2025-10-24,Team D,Team E,Team D,25,3,1,12:08,11:24,00:44
2025-10-24,Team D,Team E,Team D,37,3,1,12:05,11:24,00:41
2025-10-24,Team D,Team E,Team D,44,3,1,12:02,10:44,01:18
2025-10-24,Team D,Team E,Team D,59,2,1,12:02,11:24,00:38
2025-10-24,Team D,Team E,Team D,74,4,1,12:02,10:44,01:18
2025-10-24,Team D,Team E,Team E,25,3,1,12:02,11:24,00:38
2025-10-24,Team D,Team E,Team E,7,3,1,12:02,11:24,00:38
2025-10-24,Team D,Team E,Team E,10,3,1,12:02,11:24,00:38
2025-10-24,Team D,Team E,Team E,6,5,1,12:02,11:24,00:38
2025-10-24,Team D,Team E,Team E,19,3,1,12:02,11:24,00:38
2025-10-24,Team D,Team E,Team D,59,3,1,11:24,10:59,00:25
2025-10-24,Team D,Team E,Team D,25,4,1,11:24,10:55,00:29
2025-10-24,Team D,Team E,Team D,37,4,1,11:24,10:44,00:40
2025-10-24,Team D,Team E,Team E,28,4,1,11:24,10:13,01:11
2025-10-24,Team D,Team E,Team E,38,4,1,11:24,10:38,00:46
2025-10-24,Team D,Team E,Team E,15,2,1,11:24,09:52,01:32
2025-10-24,Team D,Team E,Team E,39,2,1,11:24,09:47,01:37
2025-10-24,Team D,Team E,Team E,37,4,1,11:24,10:38,00:46
2025-10-24,Team D,Team E,Team D,75,4,1,10:59,10:11,00:48
2025-10-24,Team D,Team E,Team D,77,4,1,10:55,10:11,00:44
2025-10-24,Team D,Team E,Team D,52,4,1,10:44,10:11,00:33
2025-10-24,Team D,Team E,Team D,50,3,1,10:44,10:11,00:33
2025-10-24,Team D,Team E,Team D,78,3,1,10:44,09:37,01:07
2025-10-24,Team D,Team E,Team E,2,5,1,10:38,09:47,00:51
2025-10-24,Team D,Team E,Team E,5,5,1,10:38,09:04,01:34
2025-10-24,Team D,Team E,Team E,28,5,1,10:13,09:55,00:18
2025-10-24,Team D,Team E,Team D,42,4,1,10:11,09:38,00:33
2025-10-24,Team D,Team E,Team D,52,5,1,10:11,09:38,00:33
2025-10-24,Team D,Team E,Team D,12,4,1,10:11,09:14,00:57
2025-10-24,Team D,Team E,Team D,36,5,1,10:11,09:24,00:47
2025-10-24,Team D,Team E,Team E,18,3,1,09:55,08:43,01:12
2025-10-24,Team D,Team E,Team E,16,3,1,09:52,08:33,01:19
2025-10-24,Team D,Team E,Team E,11,3,1,09:47,08:33,01:14
2025-10-24,Team D,Team E,Team E,7,4,1,09:47,08:42,01:05
