Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-10-28,Team A,Team C,1,20:00,5,5,0,0,Team A,14,Faceoff Win,0.0,0.5,Backhand,,0,0,45,,
2025-10-28,Team A,Team C,1,19:58,5,5,0,0,Team A,72,Puck Recovery,34.0,30.5,,,0,0,,,
2025-10-28,Team A,Team C,1,19:58,5,5,0,0,Team A,72,Play,34.0,30.5,Direct,,0,0,3,36.0,-23.5
2025-10-28,Team A,Team C,1,19:56,5,5,0,0,Team A,3,Incomplete Play,36.0,-35.5,Direct,,0,0,52,-4.0,-23.5
2025-10-28,Team A,Team C,1,19:52,5,5,0,0,Team A,14,Faceoff Win,69.0,22.5,Backhand,,0,0,45,,
2025-10-28,Team A,Team C,1,19:51,5,5,0,0,Team A,3,Puck Recovery,78.0,13.5,,,0,0,,,
2025-10-28,Team A,Team C,1,19:47,5,5,0,0,Team A,3,Play,92.0,-24.5,Indirect,,0,0,52,65.0,-37.5
2025-10-28,Team A,Team C,1,19:46,5,5,0,0,Team C,26,Puck Recovery,38.0,-38.5,,,0,0,,,
2025-10-28,Team A,Team C,1,19:46,5,5,0,0,Team C,26,Incomplete Play,38.0,-38.5,Direct,,0,0,11,58.0,-20.5
2025-10-28,Team A,Team C,1,19:44,5,5,0,0,Team A,14,Puck Recovery,41.0,-25.5,,,0,0,,,
2025-10-28,Team A,Team C,1,19:43,5,5,0,0,Team A,14,Play,52.0,-35.5,Indirect,,0,0,52,13.0,-37.5
2025-10-28,Team A,Team C,1,19:40,5,5,0,0,Team A,52,Zone Entry,-25.0,-35.5,Dumped,,0,0,26,,
2025-10-28,Team A,Team C,1,19:40,5,5,0,0,Team A,52,Dump In/Out,-24.0,-35.5,Retained,,0,0,,,
2025-10-28,Team A,Team C,1,19:36,5,5,0,0,Team A,52,Play,-93.0,-20.5,Indirect,,0,0,3,-47.0,-37.5
