Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-10-28,Team A,Team C,Team A,52,1,1,20:00,19:16,00:44
2025-10-28,Team A,Team C,Team A,29,1,1,20:00,19:21,00:39
2025-10-28,Team A,Team C,Team A,3,1,1,20:00,19:21,00:39
2025-10-28,Team A,Team C,Team A,14,1,1,20:00,19:25,00:35
2025-10-28,Team A,Team C,Team A,72,1,1,20:00,19:21,00:39
2025-10-28,Team A,Team C,Team A,Go,1,1,20:00,00:00,20:00
2025-10-28,Team A,Team C,Team C,26,1,1,20:00,19:05,00:55
2025-10-28,Team A,Team C,Team C,Go,1,1,20:00,00:00,20:00
2025-10-28,Team A,Team C,Team C,18,1,1,20:00,19:20,00:40
2025-10-28,Team A,Team C,Team C,45,1,1,20:00,19:20,00:40
2025-10-28,Team A,Team C,Team C,11,1,1,20:00,19:20,00:40
2025-10-28,Team A,Team C,Team C,37,1,1,20:00,19:05,00:55
2025-10-28,Team A,Team C,Team A,39,1,1,19:25,18:44,00:41
2025-10-28,Team A,Team C,Team A,48,1,1,19:21,17:59,01:22
2025-10-28,Team A,Team C,Team A,45,1,1,19:21,18:37,00:44
2025-10-28,Team A,Team C,Team A,92,1,1,19:21,18:44,00:37
2025-10-28,Team A,Team C,Team C,15,1,1,19:20,17:59,01:21
2025-10-28,Team A,Team C,Team C,29,1,1,19:20,18:10,01:10
2025-10-28,Team A,Team C,Team C,6,1,1,19:20,18:10,01:10
2025-10-28,Team A,Team C,Team A,20,1,1,19:16,18:39,00:37
2025-10-28,Team A,Team C,Team C,48,1,1,19:05,18:10,00:55
2025-10-28,Team A,Team C,Team C,2,1,1,19:05,18:10,00:55
2025-10-28,Team A,Team C,Team A,61,1,1,18:44,17:41,01:03
2025-10-28,Team A,Team C,Team A,15,1,1,18:44,17:59,00:45
2025-10-28,Team A,Team C,Team A,73,1,1,18:39,17:41,00:58
2025-10-28,Team A,Team C,Team A,72,2,1,18:37,17:31,01:06
2025-10-28,Team A,Team C,Team C,36,1,1,18:10,17:26,00:44
2025-10-28,Team A,Team C,Team C,19,1,1,18:10,17:26,00:44
2025-10-28,Team A,Team C,Team C,21,1,1,18:10,17:26,00:44
2025-10-28,Team A,Team C,Team C,41,1,1,18:10,17:26,00:44
2025-10-28,Team A,Team C,Team A,21,1,1,17:59,17:31,00:28
2025-10-28,Team A,Team C,Team A,6,1,1,17:59,17:26,00:33
2025-10-28,Team A,Team C,Team C,17,1,1,17:59,17:32,00:27
2025-10-28,Team A,Team C,Team A,17,1,1,17:41,17:26,00:15
2025-10-28,Team A,Team C,Team A,46,1,1,17:41,17:26,00:15
2025-10-28,Team A,Team C,Team C,20,1,1,17:32,16:49,00:43
2025-10-28,Team A,Team C,Team A,56,1,1,17:31,16:42,00:49
2025-10-28,Team A,Team C,Team A,14,2,1,17:31,16:40,00:51
2025-10-28,Team A,Team C,Team A,52,2,1,17:26,16:18,01:08
2025-10-28,Team A,Team C,Team A,29,2,1,17:26,16:43,00:43
2025-10-28,Team A,Team C,Team A,45,2,1,17:26,16:42,00:44
2025-10-28,Team A,Team C,Team C,44,1,1,17:26,16:14,01:12
2025-10-28,Team A,Team C,Team C,26,2,1,17:26,17:01,00:25
2025-10-28,Team A,Team C,Team C,22,1,1,17:26,16:46,00:40
2025-10-28,Team A,Team C,Team C,37,2,1,17:26,17:01,00:25
2025-10-28,Team A,Team C,Team C,48,2,1,17:01,16:00,01:01
2025-10-28,Team A,Team C,Team C,2,2,1,17:01,16:00,01:01
2025-10-28,Team A,Team C,Team C,11,2,1,16:49,15:33,01:16
2025-10-28,Team A,Team C,Team C,18,2,1,16:46,14:50,01:56
2025-10-28,Team A,Team C,Team A,92,2,1,16:43,15:32,01:11
2025-10-28,Team A,Team C,Team A,6,2,1,16:42,15:50,00:52
2025-10-28,Team A,Team C,Team A,72,3,1,16:42,15:50,00:52
2025-10-28,Team A,Team C,Team A,39,2,1,16:40,15:39,01:01
