Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-10-29,Team L,Team G,1,20:00,5,5,0,0,Team L,11,Faceoff Win,0.0,0.5,Backhand,,0,0,19,,
2025-10-29,Team L,Team G,1,19:57,5,5,0,0,Team L,25,Puck Recovery,2.0,-5.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:57,5,5,0,0,Team L,25,Play,2.0,-5.5,Direct,,0,0,3,23.0,14.5
2025-10-29,Team L,Team G,1,19:55,5,5,0,0,Team L,3,Play,38.0,24.5,Direct,,0,0,25,-21.0,-37.5
2025-10-29,Team L,Team G,1,19:52,5,5,0,0,Team L,25,Zone Entry,-25.0,-38.5,Dumped,,0,0,7,,
2025-10-29,Team L,Team G,1,19:52,5,5,0,0,Team L,25,Dump In/Out,-21.0,-37.5,Lost,,0,0,,,
2025-10-29,Team L,Team G,1,19:48,5,5,0,0,Team G,47,Incomplete Play,-97.0,-7.5,Indirect,,0,0,32,-56.0,39.5
2025-10-29,Team L,Team G,1,19:48,5,5,0,0,Team G,47,Puck Recovery,-97.0,-7.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:44,5,5,0,0,Team L,47,Incomplete Play,24.0,25.5,Direct,,0,0,16,1.0,14.5
2025-10-29,Team L,Team G,1,19:44,5,5,0,0,Team L,47,Puck Recovery,24.0,25.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:43,5,5,0,0,Team G,32,Puck Recovery,2.0,20.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:42,5,5,0,0,Team G,32,Zone Entry,25.0,24.5,Dumped,,0,0,3,,
2025-10-29,Team L,Team G,1,19:42,5,5,0,0,Team G,32,Dump In/Out,17.0,20.5,Lost,,0,0,,,
2025-10-29,Team L,Team G,1,19:38,5,5,0,0,Team L,3,Puck Recovery,94.0,21.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:37,5,5,0,0,Team L,3,Incomplete Play,96.0,11.5,Indirect,,0,0,16,84.0,26.5
2025-10-29,Team L,Team G,1,19:36,5,5,0,0,Team G,47,Puck Recovery,73.0,41.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:36,5,5,0,0,Team G,47,Play,73.0,41.5,Indirect,,0,0,26,55.0,37.5
2025-10-29,Team L,Team G,1,19:34,5,5,0,0,Team G,26,Shot,55.0,37.5,Wristshot,Blocked,1,0,,,
2025-10-29,Team L,Team G,1,19:33,5,5,0,0,Team L,3,Puck Recovery,99.0,10.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:32,5,5,0,0,Team L,3,Incomplete Play,90.0,26.5,Indirect,,0,0,11,39.0,34.5
2025-10-29,Team L,Team G,1,19:26,5,5,0,0,Team G,44,Puck Recovery,-35.0,24.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:24,5,5,0,0,Team G,44,Play,-66.0,-1.5,Direct,,0,0,5,-60.0,17.5
2025-10-29,Team L,Team G,1,19:18,5,5,0,0,Team G,5,Play,-92.0,11.5,Direct,,0,0,27,-71.0,29.5
2025-10-29,Team L,Team G,1,19:16,5,5,0,0,Team G,27,Play,-56.0,30.5,Direct,,0,0,44,-40.0,-39.5
2025-10-29,Team L,Team G,1,19:13,5,5,0,0,Team G,44,Zone Entry,24.0,-38.5,Dumped,,0,0,10,,
2025-10-29,Team L,Team G,1,19:13,5,5,0,0,Team G,44,Dump In/Out,24.0,-38.5,Retained,,0,0,,,
2025-10-29,Team L,Team G,1,19:10,5,5,0,0,Team G,44,Incomplete Play,94.0,-20.5,Indirect,,0,0,41,92.0,-17.5
2025-10-29,Team L,Team G,1,19:10,5,5,0,0,Team G,44,Puck Recovery,94.0,-20.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:09,5,5,0,0,Team L,34,Puck Recovery,93.0,12.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:08,5,5,0,0,Team L,34,Play,89.0,29.5,Indirect,,0,0,20,49.0,32.5
2025-10-29,Team L,Team G,1,19:07,5,5,0,0,Team L,20,Incomplete Play,49.0,32.5,Direct,,0,0,17,37.0,20.5
2025-10-29,Team L,Team G,1,19:05,5,5,0,0,Team G,41,Puck Recovery,22.0,6.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:05,5,5,0,0,Team G,41,Incomplete Play,21.0,0.5,Direct,,0,0,11,24.0,1.5
2025-10-29,Team L,Team G,1,19:03,5,5,0,0,Team G,11,Faceoff Win,20.0,-21.5,Backhand,,0,0,20,,
2025-10-29,Team L,Team G,1,19:02,5,5,0,0,Team G,5,Puck Recovery,-2.0,-29.5,,,0,0,,,
2025-10-29,Team L,Team G,1,19:02,5,5,0,0,Team G,5,Incomplete Play,-2.0,-29.5,Direct,,0,0,27,-6.0,30.5
2025-10-29,Team L,Team G,1,18:59,5,5,0,0,Team L,17,Incomplete Play,-93.0,25.5,Direct,,0,0,34,-70.0,3.5
2025-10-29,Team L,Team G,1,18:59,5,5,0,0,Team L,17,Puck Recovery,-93.0,25.5,,,0,0,,,
2025-10-29,Team L,Team G,1,18:58,5,5,0,0,Team G,44,Puck Recovery,-55.0,-5.5,,,0,0,,,
2025-10-29,Team L,Team G,1,18:57,5,5,0,0,Team G,44,Play,-39.0,8.5,Direct,,0,0,41,-35.0,12.5
2025-10-29,Team L,Team G,1,18:51,5,5,0,0,Team G,41,Play,19.0,-7.5,Indirect,,0,0,44,30.0,32.5
2025-10-29,Team L,Team G,1,18:50,5,5,0,0,Team G,41,Zone Entry,24.0,2.5,Played,,0,0,24,,
2025-10-29,Team L,Team G,1,18:49,5,5,0,0,Team G,44,Incomplete Play,59.0,31.5,Direct,,0,0,41,69.0,1.5
