Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-10-29,Team L,Team G,Team L,16,1,1,20:00,19:26,00:34
2025-10-29,Team L,Team G,Team L,25,1,1,20:00,19:26,00:34
2025-10-29,Team L,Team G,Team L,3,1,1,20:00,19:26,00:34
2025-10-29,Team L,Team G,Team L,11,1,1,20:00,19:26,00:34
2025-10-29,Team L,Team G,Team L,Go,1,1,20:00,00:00,20:00
2025-10-29,Team L,Team G,Team L,47,1,1,20:00,19:26,00:34
2025-10-29,Team L,Team G,Team G,Go,1,1,20:00,00:00,20:00
2025-10-29,Team L,Team G,Team G,19,1,1,20:00,19:27,00:33
2025-10-29,Team L,Team G,Team G,47,1,1,20:00,19:27,00:33
2025-10-29,Team L,Team G,Team G,32,1,1,20:00,19:27,00:33
2025-10-29,Team L,Team G,Team G,7,1,1,20:00,19:27,00:33
2025-10-29,Team L,Team G,Team G,26,1,1,20:00,19:31,00:29
2025-10-29,Team L,Team G,Team G,44,1,1,19:31,19:03,00:28
2025-10-29,Team L,Team G,Team G,27,1,1,19:27,19:03,00:24
2025-10-29,Team L,Team G,Team G,41,1,1,19:27,19:03,00:24
2025-10-29,Team L,Team G,Team G,5,1,1,19:27,19:03,00:24
2025-10-29,Team L,Team G,Team G,11,1,1,19:27,19:03,00:24
2025-10-29,Team L,Team G,Team L,34,1,1,19:26,19:03,00:23
2025-10-29,Team L,Team G,Team L,17,1,1,19:26,19:03,00:23
2025-10-29,Team L,Team G,Team L,24,1,1,19:26,19:03,00:23
2025-10-29,Team L,Team G,Team L,20,1,1,19:26,19:03,00:23
2025-10-29,Team L,Team G,Team L,10,1,1,19:26,19:03,00:23
2025-10-29,Team L,Team G,Team L,34,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team L,17,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team L,24,2,1,19:03,18:31,00:32
2025-10-29,Team L,Team G,Team L,20,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team L,10,2,1,19:03,18:31,00:32
2025-10-29,Team L,Team G,Team G,27,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team G,41,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team G,44,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team G,5,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team G,11,2,1,19:03,18:27,00:36
2025-10-29,Team L,Team G,Team L,29,1,1,18:31,18:27,00:04
2025-10-29,Team L,Team G,Team L,4,1,1,18:31,18:27,00:04
2025-10-29,Team L,Team G,Team L,29,2,1,18:27,17:32,00:55
2025-10-29,Team L,Team G,Team L,21,1,1,18:27,17:35,00:52
2025-10-29,Team L,Team G,Team L,14,1,1,18:27,17:35,00:52
2025-10-29,Team L,Team G,Team L,4,2,1,18:27,17:32,00:55
2025-10-29,Team L,Team G,Team L,12,1,1,18:27,17:35,00:52
2025-10-29,Team L,Team G,Team G,43,1,1,18:27,17:37,00:50
2025-10-29,Team L,Team G,Team G,2,1,1,18:27,17:37,00:50
2025-10-29,Team L,Team G,Team G,13,1,1,18:27,17:37,00:50
2025-10-29,Team L,Team G,Team G,92,1,1,18:27,17:37,00:50
2025-10-29,Team L,Team G,Team G,40,1,1,18:27,17:42,00:45
2025-10-29,Team L,Team G,Team G,12,1,1,17:42,17:27,00:15
2025-10-29,Team L,Team G,Team G,20,1,1,17:37,17:27,00:10
2025-10-29,Team L,Team G,Team G,47,2,1,17:37,17:27,00:10
2025-10-29,Team L,Team G,Team G,7,2,1,17:37,17:27,00:10
2025-10-29,Team L,Team G,Team G,45,1,1,17:37,17:27,00:10
2025-10-29,Team L,Team G,Team L,28,1,1,17:35,17:27,00:08
2025-10-29,Team L,Team G,Team L,36,1,1,17:35,17:27,00:08
2025-10-29,Team L,Team G,Team L,18,1,1,17:35,17:27,00:08
2025-10-29,Team L,Team G,Team L,3,2,1,17:32,17:27,00:05
2025-10-29,Team L,Team G,Team L,47,2,1,17:32,17:27,00:05
2025-10-29,Team L,Team G,Team L,3,3,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team L,28,2,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team L,36,2,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team L,18,2,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team L,47,3,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team G,20,2,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team G,12,2,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team G,47,3,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team G,7,3,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team G,45,2,1,17:27,17:24,00:03
2025-10-29,Team L,Team G,Team L,3,4,1,17:24,16:31,00:53
2025-10-29,Team L,Team G,Team L,28,3,1,17:24,16:36,00:48
2025-10-29,Team L,Team G,Team L,36,3,1,17:24,16:46,00:38
2025-10-29,Team L,Team G,Team L,18,3,1,17:24,16:46,00:38
2025-10-29,Team L,Team G,Team L,47,4,1,17:24,16:31,00:53
2025-10-29,Team L,Team G,Team G,20,3,1,17:24,16:31,00:53
2025-10-29,Team L,Team G,Team G,12,3,1,17:24,16:31,00:53
2025-10-29,Team L,Team G,Team G,47,4,1,17:24,16:40,00:44
2025-10-29,Team L,Team G,Team G,7,4,1,17:24,16:40,00:44
2025-10-29,Team L,Team G,Team G,45,3,1,17:24,16:31,00:53
2025-10-29,Team L,Team G,Team L,16,2,1,16:46,16:31,00:15
2025-10-29,Team L,Team G,Team L,11,2,1,16:46,16:31,00:15
2025-10-29,Team L,Team G,Team G,27,3,1,16:40,16:31,00:09
2025-10-29,Team L,Team G,Team G,5,3,1,16:40,16:31,00:09
2025-10-29,Team L,Team G,Team L,25,2,1,16:36,16:31,00:05
2025-10-29,Team L,Team G,Team L,16,3,1,16:31,16:07,00:24
2025-10-29,Team L,Team G,Team L,25,3,1,16:31,16:07,00:24
2025-10-29,Team L,Team G,Team L,11,3,1,16:31,16:07,00:24
2025-10-29,Team L,Team G,Team L,24,3,1,16:31,15:49,00:42
2025-10-29,Team L,Team G,Team L,10,3,1,16:31,16:07,00:24
2025-10-29,Team L,Team G,Team G,27,4,1,16:31,15:56,00:35
2025-10-29,Team L,Team G,Team G,19,2,1,16:31,15:49,00:42
2025-10-29,Team L,Team G,Team G,32,2,1,16:31,15:39,00:52
2025-10-29,Team L,Team G,Team G,26,2,1,16:31,15:39,00:52
2025-10-29,Team L,Team G,Team G,5,4,1,16:31,15:56,00:35
2025-10-29,Team L,Team G,Team L,25,4,1,16:07,15:49,00:18
