Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-11-02,Team A,Team D,Team A,9,1,1,20:00,19:30,00:30
2025-11-02,Team A,Team D,Team A,48,1,1,20:00,18:33,01:27
2025-11-02,Team A,Team D,Team A,88,1,1,20:00,19:25,00:35
2025-11-02,Team A,Team D,Team A,45,1,1,20:00,19:25,00:35
2025-11-02,Team A,Team D,Team A,Go,1,1,20:00,00:00,20:00
2025-11-02,Team A,Team D,Team A,92,1,1,20:00,19:25,00:35
2025-11-02,Team A,Team D,Team D,52,1,1,20:00,19:32,00:28
2025-11-02,Team A,Team D,Team D,88,1,1,20:00,19:32,00:28
2025-11-02,Team A,Team D,Team D,Go,1,1,20:00,00:00,20:00
2025-11-02,Team A,Team D,Team D,77,1,1,20:00,19:32,00:28
2025-11-02,Team A,Team D,Team D,8,1,1,20:00,19:32,00:28
2025-11-02,Team A,Team D,Team D,75,1,1,20:00,19:25,00:35
2025-11-02,Team A,Team D,Team D,42,1,1,19:32,18:39,00:53
2025-11-02,Team A,Team D,Team D,12,1,1,19:32,18:39,00:53
2025-11-02,Team A,Team D,Team D,84,1,1,19:32,18:39,00:53
2025-11-02,Team A,Team D,Team D,51,1,1,19:32,18:39,00:53
2025-11-02,Team A,Team D,Team A,29,1,1,19:30,18:43,00:47
2025-11-02,Team A,Team D,Team A,72,1,1,19:25,18:20,01:05
2025-11-02,Team A,Team D,Team A,39,1,1,19:25,18:39,00:46
2025-11-02,Team A,Team D,Team A,46,1,1,19:25,18:39,00:46
2025-11-02,Team A,Team D,Team D,36,1,1,19:25,18:39,00:46
2025-11-02,Team A,Team D,Team A,73,1,1,18:43,17:55,00:48
2025-11-02,Team A,Team D,Team A,89,1,1,18:39,17:55,00:44
2025-11-02,Team A,Team D,Team A,14,1,1,18:39,17:55,00:44
2025-11-02,Team A,Team D,Team D,63,1,1,18:39,17:45,00:54
2025-11-02,Team A,Team D,Team D,46,1,1,18:39,17:53,00:46
2025-11-02,Team A,Team D,Team D,78,1,1,18:39,17:48,00:51
2025-11-02,Team A,Team D,Team D,28,1,1,18:39,17:53,00:46
2025-11-02,Team A,Team D,Team D,74,1,1,18:39,17:25,01:14
2025-11-02,Team A,Team D,Team A,3,1,1,18:33,17:19,01:14
2025-11-02,Team A,Team D,Team A,53,1,1,18:20,17:55,00:25
2025-11-02,Team A,Team D,Team A,21,1,1,17:55,17:15,00:40
2025-11-02,Team A,Team D,Team A,56,1,1,17:55,17:19,00:36
2025-11-02,Team A,Team D,Team A,17,1,1,17:55,17:19,00:36
2025-11-02,Team A,Team D,Team A,71,1,1,17:55,16:34,01:21
2025-11-02,Team A,Team D,Team D,59,1,1,17:53,17:14,00:39
2025-11-02,Team A,Team D,Team D,25,1,1,17:53,17:14,00:39
2025-11-02,Team A,Team D,Team D,52,2,1,17:48,16:55,00:53
2025-11-02,Team A,Team D,Team D,37,1,1,17:45,17:14,00:31
2025-11-02,Team A,Team D,Team D,88,2,1,17:25,16:55,00:30
2025-11-02,Team A,Team D,Team A,9,2,1,17:19,15:55,01:24
2025-11-02,Team A,Team D,Team A,56,2,1,17:19,16:34,00:45
2025-11-02,Team A,Team D,Team A,45,2,1,17:19,16:34,00:45
