Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-11-16,Team K,Team H,1,20:00,5,5,0,0,Team K,62,Faceoff Win,0.0,0.5,Backhand,,0,0,38,,
2025-11-16,Team K,Team H,1,19:57,5,5,0,0,Team K,23,Puck Recovery,-22.0,-10.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:57,5,5,0,0,Team K,23,Play,-22.0,-10.5,Direct,,0,0,14,-44.0,23.5
2025-11-16,Team K,Team H,1,19:55,5,5,0,0,Team K,14,Play,-54.0,28.5,Direct,,0,0,23,-36.0,-28.5
2025-11-16,Team K,Team H,1,19:53,5,5,0,0,Team K,23,Play,-19.0,-36.5,Direct,,0,0,78,9.0,-36.5
2025-11-16,Team K,Team H,1,19:52,5,5,0,0,Team K,78,Dump In/Out,9.0,-36.5,Lost,,0,0,,,
2025-11-16,Team K,Team H,1,19:52,5,5,0,0,Team K,78,Zone Entry,24.0,-37.5,Dumped,,0,0,3,,
2025-11-16,Team K,Team H,1,19:50,5,5,0,0,Team H,Go,Puck Recovery,96.0,2.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:50,5,5,0,0,Team H,Go,Play,96.0,2.5,Direct,,0,0,18,91.0,25.5
2025-11-16,Team K,Team H,1,19:48,5,5,0,0,Team H,18,Play,88.0,28.5,Indirect,,0,0,17,44.0,39.5
2025-11-16,Team K,Team H,1,19:43,5,5,0,0,Team H,17,Play,45.0,34.5,Direct,,0,0,18,54.0,2.5
2025-11-16,Team K,Team H,1,19:41,5,5,0,0,Team H,18,Play,68.0,-23.5,Direct,,0,0,38,-14.0,-1.5
2025-11-16,Team K,Team H,1,19:39,5,5,0,0,Team H,38,Dump In/Out,-14.0,-1.5,Lost,,0,0,,,
2025-11-16,Team K,Team H,1,19:38,5,5,0,0,Team H,38,Zone Entry,-25.0,4.5,Dumped,,0,0,14,,
2025-11-16,Team K,Team H,1,19:35,5,5,0,0,Team K,14,Puck Recovery,-93.0,21.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:35,5,5,0,0,Team K,14,Incomplete Play,-93.0,21.5,Indirect,,0,0,23,-89.0,-18.5
2025-11-16,Team K,Team H,1,19:33,5,5,0,0,Team H,19,Play,-68.0,-36.5,Direct,,0,0,38,-74.0,-2.5
2025-11-16,Team K,Team H,1,19:33,5,5,0,0,Team H,19,Puck Recovery,-68.0,-36.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:30,5,5,0,0,Team K,78,Puck Recovery,-53.0,29.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:29,5,5,0,0,Team K,78,Play,-48.0,36.5,Direct,,0,0,14,-20.0,37.5
2025-11-16,Team K,Team H,1,19:27,5,5,0,0,Team H,18,Puck Recovery,20.0,35.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:26,5,5,0,0,Team H,18,Play,49.0,39.5,Direct,,0,0,19,-25.0,37.5
2025-11-16,Team K,Team H,1,19:25,5,5,0,0,Team H,19,Zone Entry,-25.0,37.5,Carried,,0,0,14,,
2025-11-16,Team K,Team H,1,19:23,5,5,0,0,Team H,19,Shot,-68.0,22.5,Snapshot,On Net,0,0,,,
2025-11-16,Team K,Team H,1,19:21,5,5,0,0,Team H,12,Faceoff Win,-69.0,22.5,Backhand,,0,0,25,,
2025-11-16,Team K,Team H,1,19:19,5,5,0,0,Team H,2,Puck Recovery,-38.0,24.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:19,5,5,0,0,Team H,2,Shot,-40.0,17.5,Wristshot,Missed,1,0,,,
2025-11-16,Team K,Team H,1,19:16,5,5,0,0,Team H,32,Play,-70.0,39.5,Direct,,0,0,34,-54.0,30.5
2025-11-16,Team K,Team H,1,19:16,5,5,0,0,Team H,32,Puck Recovery,-70.0,39.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:15,5,5,0,0,Team H,34,Play,-55.0,37.5,Direct,,0,0,2,-29.0,31.5
2025-11-16,Team K,Team H,1,19:14,5,5,0,0,Team H,2,Shot,-36.0,30.5,Snapshot,Blocked,1,0,,,
2025-11-16,Team K,Team H,1,19:11,5,5,0,0,Team H,32,Puck Recovery,-70.0,7.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:11,5,5,0,0,Team H,32,Shot,-70.0,7.5,Wristshot,Blocked,1,0,,,
2025-11-16,Team K,Team H,1,19:10,5,5,0,0,Team K,92,Puck Recovery,-75.0,-3.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:09,5,5,0,0,Team K,92,Play,-86.0,-25.5,Indirect,,0,0,67,-33.0,-35.5
2025-11-16,Team K,Team H,1,19:07,5,5,0,0,Team K,67,Dump In/Out,-33.0,-35.5,Lost,,0,0,,,
2025-11-16,Team K,Team H,1,19:05,5,5,0,0,Team H,5,Puck Recovery,32.0,-35.5,,,0,0,,,
2025-11-16,Team K,Team H,1,19:05,5,5,0,0,Team H,5,Play,32.0,-35.5,Direct,,0,0,2,46.0,22.5
2025-11-16,Team K,Team H,1,19:03,5,5,0,0,Team H,2,Play,40.0,25.5,Direct,,0,0,34,10.0,40.5
2025-11-16,Team K,Team H,1,19:02,5,5,0,0,Team H,12,Dump In/Out,-24.0,32.5,Lost,,0,0,,,
2025-11-16,Team K,Team H,1,19:02,5,5,0,0,Team H,12,Zone Entry,-25.0,32.5,Dumped,,0,0,42,,
2025-11-16,Team K,Team H,1,19:02,5,5,0,0,Team H,34,Play,2.0,41.5,Direct,,0,0,12,-25.0,32.5
2025-11-16,Team K,Team H,1,18:58,5,5,0,0,Team K,42,Puck Recovery,-96.0,11.5,,,0,0,,,
2025-11-16,Team K,Team H,1,18:58,5,5,0,0,Team K,42,Incomplete Play,-96.0,11.5,Indirect,,0,0,67,-52.0,37.5
2025-11-16,Team K,Team H,1,18:56,5,5,0,0,Team H,34,Takeaway,-67.0,40.5,,,0,0,,,
2025-11-16,Team K,Team H,1,18:52,5,5,0,0,Team K,,Puck Recovery,-92.0,28.5,,,0,0,,,
2025-11-16,Team K,Team H,1,18:50,5,5,0,0,Team K,,Play,-96.0,11.5,Indirect,,0,0,92,-62.0,-37.5
2025-11-16,Team K,Team H,1,18:48,5,5,0,0,Team K,92,Dump In/Out,-62.0,-37.5,Retained,,0,0,,,
2025-11-16,Team K,Team H,1,18:46,5,5,0,0,Team K,67,Play,-42.0,-37.5,Indirect,,0,0,25,4.0,-32.5
2025-11-16,Team K,Team H,1,18:46,5,5,0,0,Team K,67,Puck Recovery,-42.0,-37.5,,,0,0,,,
2025-11-16,Team K,Team H,1,18:44,5,5,0,0,Team K,25,Zone Entry,24.0,-36.5,Carried,,0,0,5,,
