Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-11-16,Team K,Team H,Team K,78,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team K,62,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team K,23,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team K,Go,1,1,20:00,16:59,03:01
2025-11-16,Team K,Team H,Team K,22,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team K,14,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team H,38,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team H,19,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team H,17,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team H,Go,1,1,20:00,14:57,05:03
2025-11-16,Team K,Team H,Team H,3,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team H,18,1,1,20:00,19:21,00:39
2025-11-16,Team K,Team H,Team K,25,1,1,19:21,18:41,00:40
2025-11-16,Team K,Team H,Team K,,1,1,19:21,18:24,00:57
2025-11-16,Team K,Team H,Team K,92,1,1,19:21,18:33,00:48
2025-11-16,Team K,Team H,Team K,42,1,1,19:21,18:24,00:57
2025-11-16,Team K,Team H,Team K,67,1,1,19:21,18:41,00:40
2025-11-16,Team K,Team H,Team H,12,1,1,19:21,18:19,01:02
2025-11-16,Team K,Team H,Team H,32,1,1,19:21,18:33,00:48
2025-11-16,Team K,Team H,Team H,34,1,1,19:21,18:24,00:57
2025-11-16,Team K,Team H,Team H,5,1,1,19:21,18:19,01:02
2025-11-16,Team K,Team H,Team H,2,1,1,19:21,18:33,00:48
2025-11-16,Team K,Team H,Team K,45,1,1,18:41,18:02,00:39
2025-11-16,Team K,Team H,Team K,53,1,1,18:41,17:52,00:49
2025-11-16,Team K,Team H,Team K,68,1,1,18:33,17:40,00:53
2025-11-16,Team K,Team H,Team H,20,1,1,18:33,17:26,01:07
2025-11-16,Team K,Team H,Team H,8,1,1,18:33,17:12,01:21
2025-11-16,Team K,Team H,Team K,75,1,1,18:24,17:52,00:32
2025-11-16,Team K,Team H,Team K,93,1,1,18:24,17:52,00:32
2025-11-16,Team K,Team H,Team H,11,1,1,18:24,17:39,00:45
2025-11-16,Team K,Team H,Team H,13,1,1,18:19,17:35,00:44
2025-11-16,Team K,Team H,Team H,26,1,1,18:19,17:12,01:07
2025-11-16,Team K,Team H,Team K,63,1,1,18:02,17:12,00:50
2025-11-16,Team K,Team H,Team K,23,2,1,17:52,17:26,00:26
2025-11-16,Team K,Team H,Team K,26,1,1,17:52,17:12,00:40
2025-11-16,Team K,Team H,Team K,14,2,1,17:52,17:26,00:26
2025-11-16,Team K,Team H,Team K,49,1,1,17:40,17:10,00:30
2025-11-16,Team K,Team H,Team H,21,1,1,17:39,16:53,00:46
2025-11-16,Team K,Team H,Team H,10,1,1,17:35,16:53,00:42
2025-11-16,Team K,Team H,Team K,,2,1,17:26,16:53,00:33
2025-11-16,Team K,Team H,Team K,42,2,1,17:26,16:53,00:33
2025-11-16,Team K,Team H,Team H,16,1,1,17:26,16:53,00:33
2025-11-16,Team K,Team H,Team K,78,2,1,17:12,16:53,00:19
2025-11-16,Team K,Team H,Team K,62,2,1,17:12,16:53,00:19
2025-11-16,Team K,Team H,Team H,3,2,1,17:12,16:53,00:19
2025-11-16,Team K,Team H,Team H,18,2,1,17:12,16:53,00:19
2025-11-16,Team K,Team H,Team K,22,2,1,17:10,16:53,00:17
2025-11-16,Team K,Team H,Team K,92,2,1,16:59,16:53,00:06
2025-11-16,Team K,Team H,Team K,25,2,1,16:53,16:12,00:41
2025-11-16,Team K,Team H,Team K,Go,2,1,16:53,06:43,10:10
2025-11-16,Team K,Team H,Team K,,3,1,16:53,16:12,00:41
2025-11-16,Team K,Team H,Team K,92,3,1,16:53,16:35,00:18
2025-11-16,Team K,Team H,Team K,42,3,1,16:53,16:12,00:41
2025-11-16,Team K,Team H,Team K,67,2,1,16:53,16:12,00:41
2025-11-16,Team K,Team H,Team H,38,2,1,16:53,16:12,00:41
2025-11-16,Team K,Team H,Team H,19,2,1,16:53,16:12,00:41
2025-11-16,Team K,Team H,Team H,17,2,1,16:53,15:49,01:04
2025-11-16,Team K,Team H,Team H,5,2,1,16:53,15:38,01:15
