Image Id,Period,Game Clock,Player or Puck,Team,Player Id,Player Jersey Number,Rink Location X (Feet),Rink Location Y (Feet),Rink Location Z (Feet),Goal Score
2025-11-16 Team H @ Team K_320173,3,1:00,Puck,n/a,n/a,n/a,-80.719,16.063,0.02,
2025-11-16 Team H @ Team K_320174,3,1:00,Player,Home,9743,22,-33.942,-17.919,1,
2025-11-16 Team H @ Team K_320174,3,1:00,Player,Home,9744,67,-40.692,15.761,1,
2025-11-16 Team H @ Team K_320174,3,1:00,Player,Away,9746,17,-79.138,6.984,1,
2025-11-16 Team H @ Team K_320174,3,1:00,Player,Away,9748,26,-21.612,-21.100,1,
2025-11-16 Team H @ Team K_320174,3,1:00,Player,Away,9756,8,-28.030,7.069,1,
2025-11-16 Team H @ Team K_320174,3,1:00,Puck,n/a,n/a,n/a,-80.186,17.359,0.02,
2025-11-16 Team H @ Team K_320175,3,1:00,Player,Home,9743,22,-33.627,-17.279,1,
2025-11-16 Team H @ Team K_320175,3,1:00,Player,Home,9744,67,-39.799,15.858,1,
2025-11-16 Team H @ Team K_320175,3,1:00,Player,Away,9746,17,-78.749,7.879,1,
2025-11-16 Team H @ Team K_320175,3,1:00,Player,Away,9748,26,-21.625,-20.232,1,
2025-11-16 Team H @ Team K_320175,3,1:00,Player,Away,9756,8,-27.948,8.072,1,
2025-11-16 Team H @ Team K_320175,3,1:00,Puck,n/a,n/a,n/a,-79.585,18.849,0.02,
2025-11-16 Team H @ Team K_320176,3,1:00,Player,Home,9743,22,-33.427,-16.573,1,
2025-11-16 Team H @ Team K_320176,3,1:00,Player,Home,9744,67,-38.932,15.986,1,
2025-11-16 Team H @ Team K_320176,3,1:00,Player,Away,9748,26,-21.588,-19.583,1,
2025-11-16 Team H @ Team K_320176,3,1:00,Player,Away,9756,8,-27.947,9.225,1,
2025-11-16 Team H @ Team K_320176,3,1:00,Puck,n/a,n/a,n/a,-79.089,20.365,0.02,
2025-11-16 Team H @ Team K_320177,3,1:00,Player,Home,9743,22,-33.292,-15.822,1,
2025-11-16 Team H @ Team K_320177,3,1:00,Player,Home,9744,67,-38.138,16.195,1,
2025-11-16 Team H @ Team K_320177,3,1:00,Player,Away,9748,26,-21.615,-18.889,1,
2025-11-16 Team H @ Team K_320177,3,1:00,Player,Away,9756,8,-27.910,10.118,1,
2025-11-16 Team H @ Team K_320177,3,1:00,Puck,n/a,n/a,n/a,-78.498,21.817,0.02,
2025-11-16 Team H @ Team K_320178,3,1:00,Player,Home,9743,22,-33.225,-15.226,1,
2025-11-16 Team H @ Team K_320178,3,1:00,Player,Home,9744,67,-37.362,16.398,1,
2025-11-16 Team H @ Team K_320178,3,1:00,Player,Away,9748,26,-21.555,-18.405,1,
2025-11-16 Team H @ Team K_320178,3,1:00,Player,Away,9756,8,-27.847,11.072,1,
2025-11-16 Team H @ Team K_320178,3,1:00,Puck,n/a,n/a,n/a,-78.372,23.396,0.02,
2025-11-16 Team H @ Team K_320179,3,1:00,Player,Home,9743,22,-33.075,-14.470,1,
2025-11-16 Team H @ Team K_320179,3,1:00,Player,Home,9744,67,-36.551,16.686,1,
2025-11-16 Team H @ Team K_320179,3,1:00,Player,Away,9748,26,-21.466,-17.749,1,
2025-11-16 Team H @ Team K_320179,3,1:00,Player,Away,9756,8,-27.634,11.939,1,
2025-11-16 Team H @ Team K_320179,3,1:00,Puck,n/a,n/a,n/a,-77.946,25.047,0.02,
2025-11-16 Team H @ Team K_320180,3,1:00,Player,Home,9743,22,-32.957,-13.776,1,
2025-11-16 Team H @ Team K_320180,3,1:00,Player,Home,9744,67,-35.799,16.892,1,
2025-11-16 Team H @ Team K_320180,3,1:00,Player,Away,9748,26,-21.290,-17.234,1,
2025-11-16 Team H @ Team K_320180,3,1:00,Player,Away,9756,8,-27.417,12.742,1,
2025-11-16 Team H @ Team K_320180,3,1:00,Puck,n/a,n/a,n/a,-77.720,26.746,0.02,
2025-11-16 Team H @ Team K_320181,3,1:00,Player,Home,9743,22,-32.876,-13.077,1,
2025-11-16 Team H @ Team K_320181,3,1:00,Player,Home,9744,67,-35.153,17.127,1,
2025-11-16 Team H @ Team K_320181,3,1:00,Player,Away,9748,26,-21.078,-16.665,1,
2025-11-16 Team H @ Team K_320181,3,1:00,Player,Away,9756,8,-27.180,13.435,1,
2025-11-16 Team H @ Team K_320181,3,1:00,Puck,n/a,n/a,n/a,-77.535,28.421,0.02,
2025-11-16 Team H @ Team K_320182,3,1:00,Player,Home,9743,22,-32.793,-12.422,1,
2025-11-16 Team H @ Team K_320182,3,1:00,Player,Home,9744,67,-34.556,17.369,1,
2025-11-16 Team H @ Team K_320182,3,1:00,Player,Away,9748,26,-20.839,-16.041,1,
2025-11-16 Team H @ Team K_320182,3,1:00,Player,Away,9756,8,-26.928,14.087,1,
2025-11-16 Team H @ Team K_320182,3,1:00,Puck,n/a,n/a,n/a,-77.335,30.065,0.02,
2025-11-16 Team H @ Team K_320183,3,1:00,Player,Home,9743,22,-32.689,-11.536,1,
2025-11-16 Team H @ Team K_320183,3,1:00,Player,Home,9744,67,-33.946,17.848,1,
2025-11-16 Team H @ Team K_320183,3,1:00,Player,Away,9748,26,-20.516,-15.280,1,
2025-11-16 Team H @ Team K_320183,3,1:00,Player,Away,9756,8,-26.511,14.793,1,
2025-11-16 Team H @ Team K_320183,3,1:00,Puck,n/a,n/a,n/a,-77.109,31.693,0.02,
2025-11-16 Team H @ Team K_320184,3,1:00,Player,Home,9743,22,-32.657,-10.802,1,
2025-11-16 Team H @ Team K_320184,3,1:00,Player,Home,9744,67,-33.490,18.475,1,
2025-11-16 Team H @ Team K_320184,3,1:00,Player,Away,9748,26,-20.208,-14.675,1,
2025-11-16 Team H @ Team K_320184,3,1:00,Player,Away,9756,8,-26.070,15.293,1,
2025-11-16 Team H @ Team K_320184,3,1:00,Puck,n/a,n/a,n/a,-76.857,33.315,0.02,
2025-11-16 Team H @ Team K_320185,3,1:00,Player,Home,9743,22,-32.556,-10.165,1,
2025-11-16 Team H @ Team K_320185,3,1:00,Player,Home,9744,67,-33.021,19.202,1,
2025-11-16 Team H @ Team K_320185,3,1:00,Player,Away,9748,26,-19.890,-14.061,1,
2025-11-16 Team H @ Team K_320185,3,1:00,Player,Away,9756,8,-25.582,15.925,1,
2025-11-16 Team H @ Team K_320185,3,1:00,Puck,n/a,n/a,n/a,-76.584,34.939,0.02,
2025-11-16 Team H @ Team K_320186,3,1:00,Player,Home,9743,22,-32.384,-9.230,1,
2025-11-16 Team H @ Team K_320186,3,1:00,Player,Home,9744,67,-32.300,20.041,1,
2025-11-16 Team H @ Team K_320186,3,1:00,Player,Away,9748,26,-19.475,-13.304,1,
2025-11-16 Team H @ Team K_320186,3,1:00,Player,Away,9756,8,-24.886,16.576,1,
2025-11-16 Team H @ Team K_320186,3,1:00,Puck,n/a,n/a,n/a,-75.877,36.570,0.02,
2025-11-16 Team H @ Team K_320187,3,1:00,Player,Home,9743,22,-32.390,-8.378,1,
2025-11-16 Team H @ Team K_320187,3,1:00,Player,Home,9744,67,-31.730,20.868,1,
2025-11-16 Team H @ Team K_320187,3,1:00,Player,Away,9748,26,-19.143,-12.685,1,
2025-11-16 Team H @ Team K_320187,3,1:00,Player,Away,9756,8,-24.315,17.266,1,
2025-11-16 Team H @ Team K_320187,3,1:00,Puck,n/a,n/a,n/a,-75.615,38.195,0.02,
2025-11-16 Team H @ Team K_320188,3,1:00,Player,Home,9743,22,-32.364,-7.901,1,
2025-11-16 Team H @ Team K_320188,3,1:00,Player,Home,9744,67,-31.010,20.970,1,
2025-11-16 Team H @ Team K_320188,3,1:00,Player,Away,9748,26,-18.798,-12.495,1,
2025-11-16 Team H @ Team K_320188,3,1:00,Player,Away,9756,8,-23.706,17.381,1,
2025-11-16 Team H @ Team K_320188,3,1:00,Puck,n/a,n/a,n/a,-75.189,39.049,0.02,
2025-11-16 Team H @ Team K_320189,3,1:00,Player,Home,9743,22,-32.364,-7.467,1,
2025-11-16 Team H @ Team K_320189,3,1:00,Player,Home,9744,67,-30.288,21.154,1,
2025-11-16 Team H @ Team K_320189,3,1:00,Player,Away,9748,26,-18.498,-12.290,1,
2025-11-16 Team H @ Team K_320189,3,1:00,Player,Away,9756,8,-23.152,17.591,1,
2025-11-16 Team H @ Team K_320189,3,1:00,Puck,n/a,n/a,n/a,-75.154,39.990,0.02,
2025-11-16 Team H @ Team K_320190,3,0:59,Player,Home,9743,22,-32.365,-6.983,1,
2025-11-16 Team H @ Team K_320190,3,0:59,Player,Home,9744,67,-29.529,21.359,1,
2025-11-16 Team H @ Team K_320190,3,0:59,Player,Away,9748,26,-18.191,-12.036,1,
2025-11-16 Team H @ Team K_320190,3,0:59,Player,Away,9756,8,-22.636,17.948,1,
2025-11-16 Team H @ Team K_320190,3,0:59,Puck,n/a,n/a,n/a,-74.846,41.041,0.02,
2025-11-16 Team H @ Team K_320191,3,0:59,Player,Home,9743,22,-32.534,-6.414,1,
2025-11-16 Team H @ Team K_320191,3,0:59,Player,Home,9744,67,-28.886,21.639,1,
2025-11-16 Team H @ Team K_320191,3,0:59,Player,Away,9748,26,-17.938,-11.785,1,
2025-11-16 Team H @ Team K_320191,3,0:59,Player,Away,9756,8,-22.209,18.323,1,
2025-11-16 Team H @ Team K_320191,3,0:59,Puck,n/a,n/a,n/a,-74.895,42.332,0.02,
2025-11-16 Team H @ Team K_320192,3,0:59,Player,Home,9743,22,-32.828,-5.774,1,
2025-11-16 Team H @ Team K_320192,3,0:59,Player,Home,9744,67,-28.376,22.051,1,
2025-11-16 Team H @ Team K_320192,3,0:59,Player,Away,9748,26,-17.701,-11.543,1,
2025-11-16 Team H @ Team K_320192,3,0:59,Player,Away,9756,8,-21.872,18.610,1,
2025-11-16 Team H @ Team K_320192,3,0:59,Puck,n/a,n/a,n/a,-75.081,42.487,0.02,
2025-11-16 Team H @ Team K_320193,3,0:59,Player,Home,9743,22,-32.980,-5.142,1,
2025-11-16 Team H @ Team K_320193,3,0:59,Player,Home,9744,67,-27.779,22.588,1,
2025-11-16 Team H @ Team K_320193,3,0:59,Player,Away,9748,26,-17.355,-11.230,1,
