Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-11-19,Team K,Team I,1,20:00,5,5,0,0,Team K,25,Faceoff Win,0.0,0.5,Backhand,,0,0,65,,
2025-11-19,Team K,Team I,1,19:59,5,5,0,0,Team K,23,Puck Recovery,-21.0,17.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:57,5,5,0,0,Team K,23,Incomplete Play,-3.0,40.5,Indirect,,0,0,26,10.0,38.5
2025-11-19,Team K,Team I,1,19:56,5,5,0,0,Team I,3,Puck Recovery,39.0,38.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:55,5,5,0,0,Team I,3,Play,59.0,27.5,Direct,,0,0,56,61.0,-27.5
2025-11-19,Team K,Team I,1,19:53,5,5,0,0,Team I,56,Play,59.0,-34.5,Direct,,0,0,47,-1.0,-36.5
2025-11-19,Team K,Team I,1,19:52,5,5,0,0,Team I,47,Dump In/Out,-1.0,-36.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,19:51,5,5,0,0,Team I,47,Zone Entry,-26.0,-39.5,Dumped,,0,0,58,,
2025-11-19,Team K,Team I,1,19:49,5,5,0,0,Team K,Go,Play,-97.0,-6.5,Indirect,,0,0,45,-52.0,-29.5
2025-11-19,Team K,Team I,1,19:49,5,5,0,0,Team K,Go,Puck Recovery,-97.0,-4.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:46,5,5,0,0,Team K,45,Play,-46.0,-22.5,Direct,,0,0,26,-33.0,-10.5
2025-11-19,Team K,Team I,1,19:44,5,5,0,0,Team K,26,Dump In/Out,2.0,-23.5,Retained,,0,0,,,
2025-11-19,Team K,Team I,1,19:44,5,5,0,0,Team K,26,Zone Entry,25.0,-24.5,Dumped,,0,0,56,,
2025-11-19,Team K,Team I,1,19:41,5,5,0,0,Team K,25,Puck Recovery,94.0,18.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:41,5,5,0,0,Team K,25,Incomplete Play,94.0,18.5,Direct,,0,0,26,81.0,2.5
2025-11-19,Team K,Team I,1,19:38,5,5,0,0,Team I,47,Puck Recovery,90.0,33.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:38,5,5,0,0,Team I,47,Play,90.0,33.5,Indirect,,0,0,65,46.0,40.5
2025-11-19,Team K,Team I,1,19:34,5,5,0,0,Team I,65,Dump In/Out,-7.0,0.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,19:33,5,5,0,0,Team I,65,Zone Entry,-26.0,-17.5,Dumped,,0,0,58,,
2025-11-19,Team K,Team I,1,19:30,5,5,0,0,Team K,58,Play,-96.0,-21.5,Indirect,,0,0,26,-91.0,-24.5
2025-11-19,Team K,Team I,1,19:30,5,5,0,0,Team K,58,Puck Recovery,-96.0,-21.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:26,5,5,0,0,Team K,26,Incomplete Play,-93.0,32.5,Indirect,,0,0,25,-41.0,42.5
2025-11-19,Team K,Team I,1,19:24,5,5,0,0,Team I,19,Puck Recovery,-50.0,38.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:22,5,5,0,0,Team I,19,Play,-29.0,1.5,Direct,,0,0,65,-53.0,-36.5
2025-11-19,Team K,Team I,1,19:20,5,5,0,0,Team I,65,Play,-57.0,-35.5,Direct,,0,0,19,-60.0,-18.5
2025-11-19,Team K,Team I,1,19:19,5,5,0,0,Team I,19,Shot,-82.0,-15.5,Bat,Missed,0,0,,,
2025-11-19,Team K,Team I,1,19:16,5,5,0,0,Team I,4,Play,-77.0,42.5,Indirect,,0,0,28,-54.0,40.5
2025-11-19,Team K,Team I,1,19:16,5,5,0,0,Team I,4,Puck Recovery,-77.0,42.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:12,5,5,0,0,Team I,28,Shot,-44.0,13.5,Wristshot,On Net,1,0,,,
2025-11-19,Team K,Team I,1,19:11,5,5,0,0,Team I,28,Puck Recovery,-63.0,1.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:11,5,5,0,0,Team I,28,Shot,-63.0,1.5,Snapshot,Blocked,0,0,,,
2025-11-19,Team K,Team I,1,19:08,5,5,0,0,Team K,62,Faceoff Win,-69.0,-21.5,Forehand,,0,0,93,,
2025-11-19,Team K,Team I,1,19:07,5,5,0,0,Team K,42,Puck Recovery,-74.0,-20.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:05,5,5,0,0,Team K,42,Play,-94.0,24.5,Direct,,0,0,78,-36.0,40.5
2025-11-19,Team K,Team I,1,19:04,5,5,0,0,Team K,78,Dump In/Out,-36.0,40.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,19:02,5,5,0,0,Team I,19,Play,-58.0,41.5,Direct,,0,0,93,-60.0,29.5
2025-11-19,Team K,Team I,1,19:02,5,5,0,0,Team I,19,Puck Recovery,-58.0,41.5,,,0,0,,,
2025-11-19,Team K,Team I,1,19:00,5,5,0,0,Team K,62,Puck Recovery,-71.0,1.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:59,5,5,0,0,Team K,62,Dump In/Out,-73.0,-12.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,18:56,5,5,0,0,Team I,37,Puck Recovery,-7.0,-39.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:56,5,5,0,0,Team I,37,Incomplete Play,-4.0,-40.5,Indirect,,0,0,28,-23.0,-35.5
2025-11-19,Team K,Team I,1,18:54,5,5,0,0,Team K,62,Puck Recovery,-39.0,-22.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:52,5,5,0,0,Team K,62,Zone Entry,25.0,-32.5,Carried,,0,0,37,,
2025-11-19,Team K,Team I,1,18:49,5,5,0,0,Team K,62,Shot,85.0,-1.5,Wristshot,On Net,0,0,,,
2025-11-19,Team K,Team I,1,18:48,5,5,0,0,Team I,93,Puck Recovery,82.0,-0.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:48,5,5,0,0,Team I,93,Incomplete Play,82.0,-0.5,Indirect,,0,0,28,69.0,33.5
2025-11-19,Team K,Team I,1,18:47,5,5,0,0,Team K,62,Incomplete Play,77.0,36.5,Direct,,0,0,14,26.0,22.5
2025-11-19,Team K,Team I,1,18:47,5,5,0,0,Team K,62,Takeaway,77.0,36.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:45,5,5,0,0,Team K,14,Puck Recovery,23.0,19.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:42,5,5,0,0,Team K,14,Play,-28.0,7.5,Direct,,0,0,22,11.0,-32.5
2025-11-19,Team K,Team I,1,18:41,5,5,0,0,Team K,22,Dump In/Out,11.0,-32.5,Retained,,0,0,,,
2025-11-19,Team K,Team I,1,18:41,5,5,0,0,Team K,22,Zone Entry,25.0,-36.5,Dumped,,0,0,37,,
2025-11-19,Team K,Team I,1,18:37,5,5,0,0,Team K,78,Puck Recovery,97.0,0.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:33,5,5,0,0,Team I,37,Play,96.0,3.5,Indirect,,0,0,4,97.0,21.5
2025-11-19,Team K,Team I,1,18:33,5,5,0,0,Team I,37,Puck Recovery,96.0,3.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:31,5,5,0,0,Team I,4,Play,95.0,26.5,Indirect,,0,0,19,65.0,41.5
2025-11-19,Team K,Team I,1,18:27,5,5,0,0,Team K,,Puck Recovery,39.0,24.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:27,5,5,0,0,Team K,,Play,33.0,20.5,Direct,,0,0,63,29.0,27.5
2025-11-19,Team K,Team I,1,18:26,5,5,0,0,Team K,63,Shot,31.0,22.5,Wristshot,On Net,1,0,,,
2025-11-19,Team K,Team I,1,18:23,5,5,0,0,Team I,77,Faceoff Win,69.0,22.5,Backhand,,0,0,63,,
2025-11-19,Team K,Team I,1,18:19,5,5,0,0,Team I,,Puck Recovery,90.0,21.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:19,5,5,0,0,Team I,,Play,90.0,21.5,Indirect,,0,0,22,96.0,5.5
2025-11-19,Team K,Team I,1,18:17,5,5,0,0,Team I,22,Play,98.0,-16.5,Indirect,,0,0,34,72.0,-35.5
2025-11-19,Team K,Team I,1,18:16,5,5,0,0,Team I,34,Dump In/Out,72.0,-35.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,18:13,5,5,0,0,Team K,,Puck Recovery,-50.0,-31.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:12,5,5,0,0,Team K,,Incomplete Play,-46.0,-0.5,Indirect,,0,0,63,0.0,39.5
2025-11-19,Team K,Team I,1,18:11,5,5,0,0,Team I,22,Puck Recovery,97.0,17.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:11,5,5,0,0,Team K,63,Faceoff Win,-69.0,-21.5,Forehand,,0,0,77,,
2025-11-19,Team K,Team I,1,18:08,5,5,0,0,Team K,,Puck Recovery,-95.0,-21.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:07,5,5,0,0,Team K,,Incomplete Play,-97.0,-17.5,Indirect,,0,0,67,-32.0,35.5
2025-11-19,Team K,Team I,1,18:02,5,5,0,0,Team I,Go,Puck Recovery,87.0,-1.5,,,0,0,,,
2025-11-19,Team K,Team I,1,18:01,5,5,0,0,Team I,Go,Play,83.0,-7.5,Direct,,0,0,22,81.0,-10.5
2025-11-19,Team K,Team I,1,17:58,5,5,0,0,Team I,22,Dump In/Out,98.0,-12.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,17:57,5,5,0,0,Team K,75,Puck Recovery,33.0,-41.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:56,5,5,0,0,Team K,75,Shot,35.0,-38.5,Wristshot,On Net,1,0,,,
2025-11-19,Team K,Team I,1,17:52,5,5,0,0,Team K,63,Play,75.0,-38.5,Indirect,,0,0,68,71.0,39.5
2025-11-19,Team K,Team I,1,17:52,5,5,0,0,Team K,63,Puck Recovery,68.0,-38.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:48,5,5,0,0,Team K,68,Play,71.0,39.5,Indirect,,0,0,67,76.0,38.5
2025-11-19,Team K,Team I,1,17:45,5,5,0,0,Team I,34,Puck Recovery,65.0,28.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:43,5,5,0,0,Team I,34,Play,68.0,-2.5,Direct,,0,0,,52.0,13.5
2025-11-19,Team K,Team I,1,17:42,5,5,0,0,Team I,,Play,41.0,12.5,Direct,,0,0,77,-14.0,-14.5
2025-11-19,Team K,Team I,1,17:40,5,5,0,0,Team I,77,Dump In/Out,-14.0,-14.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,17:39,5,5,0,0,Team K,75,Puck Recovery,-40.0,-5.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:39,5,5,0,0,Team I,77,Zone Entry,-26.0,-12.5,Dumped,,0,0,75,,
2025-11-19,Team K,Team I,1,17:37,5,5,0,0,Team K,75,Play,-54.0,-17.5,Direct,,0,0,26,5.0,-0.5
2025-11-19,Team K,Team I,1,17:35,5,5,0,0,Team K,26,Zone Entry,25.0,17.5,Carried,,0,0,,,
2025-11-19,Team K,Team I,1,17:34,5,5,0,0,Team K,26,Shot,60.0,29.5,Wristshot,On Net,0,0,,,
2025-11-19,Team K,Team I,1,17:33,5,5,0,0,Team I,11,Faceoff Win,69.0,22.5,Backhand,,0,0,41,,
2025-11-19,Team K,Team I,1,17:32,5,5,0,0,Team I,3,Puck Recovery,85.0,21.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:31,5,5,0,0,Team I,3,Dump In/Out,88.0,32.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,17:29,5,5,0,0,Team K,23,Incomplete Play,32.0,41.5,Indirect,,0,0,26,80.0,28.5
2025-11-19,Team K,Team I,1,17:29,5,5,0,0,Team K,23,Puck Recovery,30.0,38.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:27,5,5,0,0,Team I,3,Takeaway,85.0,36.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:27,5,5,0,0,Team I,3,Play,88.0,31.5,Direct,,0,0,11,66.0,16.5
2025-11-19,Team K,Team I,1,17:24,5,5,0,0,Team I,11,Play,36.0,42.5,Direct,,0,0,27,18.0,41.5
2025-11-19,Team K,Team I,1,17:21,5,5,0,0,Team K,41,Puck Recovery,29.0,39.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:20,5,5,0,0,Team K,41,Play,42.0,40.5,Direct,,0,0,26,35.0,36.5
2025-11-19,Team K,Team I,1,17:18,5,5,0,0,Team K,26,Shot,53.0,25.5,Snapshot,Blocked,1,0,,,
2025-11-19,Team K,Team I,1,17:15,5,5,0,0,Team K,53,Play,72.0,-35.5,Indirect,,0,0,58,32.0,-34.5
2025-11-19,Team K,Team I,1,17:15,5,5,0,0,Team K,53,Puck Recovery,85.0,-28.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:14,5,5,0,0,Team K,58,Incomplete Play,32.0,-34.5,Indirect,,0,0,41,49.0,-13.5
2025-11-19,Team K,Team I,1,17:10,5,5,0,0,Team I,56,Puck Recovery,19.0,-39.5,,,0,0,,,
2025-11-19,Team K,Team I,1,17:10,5,5,0,0,Team I,56,Play,19.0,-39.5,Direct,,0,0,11,4.0,-20.5
2025-11-19,Team K,Team I,1,17:09,5,5,0,0,Team I,11,Zone Entry,-26.0,-12.5,Carried,,0,0,58,,
2025-11-19,Team K,Team I,1,17:08,5,5,0,0,Team I,11,Play,-29.0,-11.5,Direct,,0,0,21,-40.0,-30.5
2025-11-19,Team K,Team I,1,17:07,5,5,0,0,Team I,21,Play,-49.0,-31.5,Indirect,,0,0,11,-98.0,-20.5
2025-11-19,Team K,Team I,1,16:57,5,5,0,0,Team I,11,Play,-73.0,-38.5,Indirect,,0,0,56,-31.0,-37.5
2025-11-19,Team K,Team I,1,16:56,5,5,0,0,Team I,56,Play,-29.0,-37.5,Indirect,,0,0,11,-52.0,-39.5
2025-11-19,Team K,Team I,1,16:54,5,5,0,0,Team I,11,Play,-52.0,-39.5,Indirect,,0,0,21,-99.0,-12.5
2025-11-19,Team K,Team I,1,16:50,5,5,0,0,Team I,21,Incomplete Play,-96.0,-26.5,Direct,,0,0,11,-69.0,-19.5
2025-11-19,Team K,Team I,1,16:49,5,5,0,0,Team K,53,Takeaway,-74.0,-21.5,,,0,0,,,
2025-11-19,Team K,Team I,1,16:47,5,5,0,0,Team K,53,Play,-52.0,-20.5,Direct,,0,0,26,-42.0,-4.5
2025-11-19,Team K,Team I,1,16:44,5,5,0,0,Team K,26,Dump In/Out,0.0,37.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,16:43,5,5,0,0,Team I,3,Puck Recovery,15.0,39.5,,,0,0,,,
2025-11-19,Team K,Team I,1,16:42,5,5,0,0,Team K,26,Takeaway,15.0,36.5,,,0,0,,,
2025-11-19,Team K,Team I,1,16:40,5,5,0,0,Team K,26,Dump In/Out,5.0,31.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,16:39,5,5,0,0,Team K,26,Zone Entry,25.0,39.5,Dumped,,0,0,3,,
2025-11-19,Team K,Team I,1,16:36,5,5,0,0,Team I,Go,Puck Recovery,96.0,1.5,,,0,0,,,
2025-11-19,Team K,Team I,1,16:35,5,5,0,0,Team I,Go,Play,97.0,2.5,Direct,,0,0,56,95.0,1.5
2025-11-19,Team K,Team I,1,16:31,5,5,0,0,Team I,56,Play,88.0,-5.5,Direct,,0,0,47,35.0,-36.5
2025-11-19,Team K,Team I,1,16:28,5,5,0,0,Team I,47,Dump In/Out,-1.0,-38.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,16:27,5,5,0,0,Team I,47,Zone Entry,-26.0,-22.5,Dumped,,0,0,42,,
2025-11-19,Team K,Team I,1,16:25,5,5,0,0,Team K,14,Puck Recovery,-97.0,24.5,,,0,0,,,
2025-11-19,Team K,Team I,1,16:24,5,5,0,0,Team K,14,Play,-94.0,25.5,Direct,,0,0,25,-56.0,38.5
2025-11-19,Team K,Team I,1,16:19,5,5,0,0,Team K,25,Zone Entry,24.0,41.5,Dumped,,0,0,4,,
2025-11-19,Team K,Team I,1,16:19,5,5,0,0,Team K,25,Dump In/Out,0.0,42.5,Lost,,0,0,,,
2025-11-19,Team K,Team I,1,16:16,5,5,0,0,Team I,Go,Puck Recovery,98.0,0.5,,,0,0,,,
2025-11-19,Team K,Team I,1,16:15,5,5,0,0,Team I,Go,Play,98.0,1.5,Direct,,0,0,4,89.0,31.5
2025-11-19,Team K,Team I,1,16:14,5,5,0,0,Team I,4,Play,83.0,35.5,Indirect,,0,0,51,33.0,40.5
2025-11-19,Team K,Team I,1,16:12,5,5,0,0,Team I,51,Play,23.0,39.5,Direct,,0,0,37,7.0,2.5
2025-11-19,Team K,Team I,1,16:10,5,5,0,0,Team I,37,Play,-24.0,-5.5,Direct,,0,0,65,-41.0,-38.5
2025-11-19,Team K,Team I,1,16:08,5,5,0,0,Team K,62,Faceoff Win,-20.0,-21.5,Backhand,,0,0,65,,
2025-11-19,Team K,Team I,1,16:07,5,5,0,0,Team K,14,Puck Recovery,-56.0,-2.5,,,0,0,,,
2025-11-19,Team K,Team I,1,16:05,5,5,0,0,Team K,14,Play,-60.0,23.5,Indirect,,0,0,78,4.0,39.5
2025-11-19,Team K,Team I,1,16:04,5,5,0,0,Team K,78,Dump In/Out,4.0,39.5,Retained,,0,0,,,
2025-11-19,Team K,Team I,1,16:03,5,5,0,0,Team K,78,Zone Entry,25.0,39.5,Dumped,,0,0,4,,
2025-11-19,Team K,Team I,1,15:59,5,5,0,0,Team K,22,Incomplete Play,95.0,25.5,Direct,,0,0,62,70.0,14.5
2025-11-19,Team K,Team I,1,15:59,5,5,0,0,Team K,22,Puck Recovery,97.0,18.5,,,0,0,,,
2025-11-19,Team K,Team I,1,15:57,5,5,0,0,Team K,42,Puck Recovery,34.0,-2.5,,,0,0,,,
