Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-11-19,Team K,Team I,Team I,47,1,1,20:00,19:28,00:32
2025-11-19,Team K,Team I,Team I,51,1,1,20:00,19:28,00:32
2025-11-19,Team K,Team I,Team I,65,1,1,20:00,19:10,00:50
2025-11-19,Team K,Team I,Team I,56,1,1,20:00,19:28,00:32
2025-11-19,Team K,Team I,Team I,3,1,1,20:00,19:28,00:32
2025-11-19,Team K,Team I,Team I,Go,1,1,20:00,00:00,20:00
2025-11-19,Team K,Team I,Team K,23,1,1,20:00,19:08,00:52
2025-11-19,Team K,Team I,Team K,26,1,1,20:00,19:08,00:52
2025-11-19,Team K,Team I,Team K,25,1,1,20:00,19:08,00:52
2025-11-19,Team K,Team I,Team K,45,1,1,20:00,19:08,00:52
2025-11-19,Team K,Team I,Team K,58,1,1,20:00,19:08,00:52
2025-11-19,Team K,Team I,Team K,Go,1,1,20:00,00:00,20:00
2025-11-19,Team K,Team I,Team I,4,1,1,19:28,18:23,01:05
2025-11-19,Team K,Team I,Team I,56,2,1,19:28,19:18,00:10
2025-11-19,Team K,Team I,Team I,19,1,1,19:28,18:23,01:05
2025-11-19,Team K,Team I,Team I,28,1,1,19:28,18:23,01:05
2025-11-19,Team K,Team I,Team I,37,1,1,19:18,18:23,00:55
2025-11-19,Team K,Team I,Team I,93,1,1,19:10,18:23,00:47
2025-11-19,Team K,Team I,Team K,78,1,1,19:08,18:23,00:45
2025-11-19,Team K,Team I,Team K,62,1,1,19:08,18:34,00:34
2025-11-19,Team K,Team I,Team K,22,1,1,19:08,18:34,00:34
2025-11-19,Team K,Team I,Team K,14,1,1,19:08,18:34,00:34
2025-11-19,Team K,Team I,Team K,42,1,1,19:08,18:34,00:34
2025-11-19,Team K,Team I,Team K,75,1,1,18:34,17:33,01:01
2025-11-19,Team K,Team I,Team K,,1,1,18:34,17:33,01:01
2025-11-19,Team K,Team I,Team K,63,1,1,18:34,17:36,00:58
2025-11-19,Team K,Team I,Team K,68,1,1,18:34,17:39,00:55
2025-11-19,Team K,Team I,Team I,,1,1,18:23,17:33,00:50
2025-11-19,Team K,Team I,Team I,34,1,1,18:23,17:33,00:50
2025-11-19,Team K,Team I,Team I,81,1,1,18:23,17:33,00:50
2025-11-19,Team K,Team I,Team I,77,1,1,18:23,17:33,00:50
2025-11-19,Team K,Team I,Team I,22,1,1,18:23,17:33,00:50
2025-11-19,Team K,Team I,Team K,67,1,1,18:23,17:39,00:44
2025-11-19,Team K,Team I,Team K,26,2,1,17:39,16:35,01:04
2025-11-19,Team K,Team I,Team K,53,1,1,17:39,16:43,00:56
2025-11-19,Team K,Team I,Team K,41,1,1,17:36,16:43,00:53
2025-11-19,Team K,Team I,Team I,21,1,1,17:33,16:43,00:50
2025-11-19,Team K,Team I,Team I,56,3,1,17:33,16:24,01:09
2025-11-19,Team K,Team I,Team I,11,1,1,17:33,16:43,00:50
2025-11-19,Team K,Team I,Team I,3,2,1,17:33,16:24,01:09
2025-11-19,Team K,Team I,Team I,27,1,1,17:33,16:35,00:58
2025-11-19,Team K,Team I,Team K,23,2,1,17:33,16:43,00:50
2025-11-19,Team K,Team I,Team K,58,2,1,17:33,16:43,00:50
2025-11-19,Team K,Team I,Team I,47,2,1,16:43,15:48,00:55
2025-11-19,Team K,Team I,Team I,65,2,1,16:43,15:38,01:05
2025-11-19,Team K,Team I,Team K,25,2,1,16:43,16:08,00:35
2025-11-19,Team K,Team I,Team K,92,1,1,16:43,16:08,00:35
2025-11-19,Team K,Team I,Team K,14,2,1,16:43,15:38,01:05
2025-11-19,Team K,Team I,Team K,42,2,1,16:43,15:38,01:05
2025-11-19,Team K,Team I,Team I,51,2,1,16:35,15:38,00:57
2025-11-19,Team K,Team I,Team K,45,2,1,16:35,16:08,00:27
2025-11-19,Team K,Team I,Team I,4,2,1,16:24,15:38,00:46
2025-11-19,Team K,Team I,Team I,37,2,1,16:24,15:38,00:46
2025-11-19,Team K,Team I,Team K,78,2,1,16:08,15:38,00:30
2025-11-19,Team K,Team I,Team K,62,2,1,16:08,15:38,00:30
2025-11-19,Team K,Team I,Team K,22,2,1,16:08,15:38,00:30
2025-11-19,Team K,Team I,Team I,19,2,1,15:48,14:59,00:49
2025-11-19,Team K,Team I,Team I,,2,1,15:38,14:59,00:39
2025-11-19,Team K,Team I,Team I,93,2,1,15:38,14:53,00:45
2025-11-19,Team K,Team I,Team I,28,2,1,15:38,14:59,00:39
2025-11-19,Team K,Team I,Team I,22,2,1,15:38,14:59,00:39
2025-11-19,Team K,Team I,Team K,75,2,1,15:38,14:53,00:45
2025-11-19,Team K,Team I,Team K,,2,1,15:38,14:53,00:45
2025-11-19,Team K,Team I,Team K,63,2,1,15:38,14:59,00:39
2025-11-19,Team K,Team I,Team K,68,2,1,15:38,14:53,00:45
2025-11-19,Team K,Team I,Team K,67,2,1,15:38,14:53,00:45
2025-11-19,Team K,Team I,Team I,34,2,1,14:59,13:50,01:09
2025-11-19,Team K,Team I,Team I,56,4,1,14:59,13:50,01:09
2025-11-19,Team K,Team I,Team I,81,2,1,14:59,14:07,00:52
2025-11-19,Team K,Team I,Team I,3,3,1,14:59,13:50,01:09
2025-11-19,Team K,Team I,Team K,41,2,1,14:59,14:09,00:50
2025-11-19,Team K,Team I,Team I,77,2,1,14:53,13:50,01:03
2025-11-19,Team K,Team I,Team K,23,3,1,14:53,13:38,01:15
2025-11-19,Team K,Team I,Team K,26,3,1,14:53,14:09,00:44
2025-11-19,Team K,Team I,Team K,53,2,1,14:53,13:54,00:59
2025-11-19,Team K,Team I,Team K,58,3,1,14:53,14:09,00:44
2025-11-19,Team K,Team I,Team K,25,3,1,14:09,13:36,00:33
2025-11-19,Team K,Team I,Team K,45,3,1,14:09,13:13,00:56
2025-11-19,Team K,Team I,Team K,14,3,1,14:09,13:05,01:04
2025-11-19,Team K,Team I,Team I,27,2,1,14:07,13:36,00:31
2025-11-19,Team K,Team I,Team K,92,2,1,13:54,13:13,00:41
2025-11-19,Team K,Team I,Team I,4,3,1,13:50,13:05,00:45
2025-11-19,Team K,Team I,Team I,21,2,1,13:50,13:13,00:37
2025-11-19,Team K,Team I,Team I,11,2,1,13:50,13:13,00:37
2025-11-19,Team K,Team I,Team I,37,3,1,13:50,13:05,00:45
2025-11-19,Team K,Team I,Team K,42,3,1,13:38,13:05,00:33
2025-11-19,Team K,Team I,Team I,51,3,1,13:36,12:21,01:15
2025-11-19,Team K,Team I,Team K,62,3,1,13:36,12:21,01:15
2025-11-19,Team K,Team I,Team I,47,3,1,13:13,12:21,00:52
