Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-11-28,Team K,Team J,1,20:00,5,5,0,0,Team K,62,Faceoff Win,0.0,0.5,Forehand,,0,0,41,,
2025-11-28,Team K,Team J,1,19:58,5,5,0,0,Team K,76,Puck Recovery,-13.0,1.5,,,0,0,,,
2025-11-28,Team K,Team J,1,19:58,5,5,0,0,Team K,76,Play,-13.0,1.5,Indirect,,0,0,,-21.0,5.5
2025-11-28,Team K,Team J,1,19:55,5,5,0,0,Team K,,Play,-20.0,-26.5,Direct,,0,0,76,-4.0,33.5
2025-11-28,Team K,Team J,1,19:54,5,5,0,0,Team K,76,Zone Entry,24.0,37.5,Dumped,,0,0,12,,
2025-11-28,Team K,Team J,1,19:54,5,5,0,0,Team K,76,Dump In/Out,5.0,35.5,Lost,,0,0,,,
2025-11-28,Team K,Team J,1,19:52,5,5,0,0,Team J,Go,Puck Recovery,98.0,0.5,,,0,0,,,
2025-11-28,Team K,Team J,1,19:50,5,5,0,0,Team J,Go,Incomplete Play,96.0,-7.5,Indirect,,0,0,18,57.0,-38.5
2025-11-28,Team K,Team J,1,19:45,5,5,0,0,Team J,18,Penalty Taken,57.0,-38.5,High-sticking,,0,0,75,,
2025-11-28,Team K,Team J,1,19:45,5,4,0,0,Team K,25,Faceoff Win,69.0,22.5,Backhand,,0,0,41,,
2025-11-28,Team K,Team J,1,19:44,5,4,0,0,Team K,62,Puck Recovery,61.0,13.5,,,0,0,,,
2025-11-28,Team K,Team J,1,19:42,5,4,0,0,Team K,62,Play,68.0,38.5,Indirect,,0,0,23,33.0,34.5
2025-11-28,Team K,Team J,1,19:39,5,4,0,0,Team K,23,Play,33.0,18.5,Direct,,0,0,76,43.0,-21.5
2025-11-28,Team K,Team J,1,19:38,5,4,0,0,Team K,76,Play,39.0,-30.5,Direct,,0,0,23,29.0,4.5
2025-11-28,Team K,Team J,1,19:37,5,4,0,0,Team K,23,Play,29.0,15.5,Direct,,0,0,62,62.0,22.5
