Date,Home_Team,Away_Team,Team,Player_Id,shift_number,period,start_clock,end_clock,shift_length
2025-11-28,Team K,Team J,Team J,41,1,1,20:00,19:13,00:47
2025-11-28,Team K,Team J,Team J,25,1,1,20:00,19:13,00:47
2025-11-28,Team K,Team J,Team J,5,1,1,20:00,19:13,00:47
2025-11-28,Team K,Team J,Team J,Go,1,1,20:00,00:00,20:00
2025-11-28,Team K,Team J,Team J,12,1,1,20:00,19:13,00:47
2025-11-28,Team K,Team J,Team J,18,1,1,20:00,19:45,00:15
2025-11-28,Team K,Team J,Team K,75,1,1,20:00,19:45,00:15
2025-11-28,Team K,Team J,Team K,62,1,1,20:00,18:35,01:25
2025-11-28,Team K,Team J,Team K,,1,1,20:00,19:45,00:15
2025-11-28,Team K,Team J,Team K,22,1,1,20:00,18:35,01:25
2025-11-28,Team K,Team J,Team K,76,1,1,20:00,18:37,01:23
2025-11-28,Team K,Team J,Team K,Go,1,1,20:00,00:00,20:00
2025-11-28,Team K,Team J,Team K,23,1,1,19:45,18:29,01:16
2025-11-28,Team K,Team J,Team K,25,1,1,19:45,18:37,01:08
2025-11-28,Team K,Team J,Team J,8,1,1,19:13,18:35,00:38
2025-11-28,Team K,Team J,Team J,43,1,1,19:13,18:35,00:38
2025-11-28,Team K,Team J,Team J,19,1,1,19:13,18:35,00:38
2025-11-28,Team K,Team J,Team J,82,1,1,19:13,18:35,00:38
2025-11-28,Team K,Team J,Team K,78,1,1,18:37,17:00,01:37
2025-11-28,Team K,Team J,Team K,68,1,1,18:37,17:04,01:33
2025-11-28,Team K,Team J,Team J,41,2,1,18:35,18:07,00:28
2025-11-28,Team K,Team J,Team J,5,2,1,18:35,18:07,00:28
2025-11-28,Team K,Team J,Team J,36,1,1,18:35,18:09,00:26
2025-11-28,Team K,Team J,Team J,65,1,1,18:35,18:07,00:28
2025-11-28,Team K,Team J,Team K,92,1,1,18:35,17:48,00:47
2025-11-28,Team K,Team J,Team K,45,1,1,18:35,17:48,00:47
2025-11-28,Team K,Team J,Team K,,2,1,18:29,17:01,01:28
2025-11-28,Team K,Team J,Team J,19,2,1,18:09,17:05,01:04
2025-11-28,Team K,Team J,Team J,6,1,1,18:07,16:58,01:09
2025-11-28,Team K,Team J,Team J,43,2,1,18:07,16:58,01:09
2025-11-28,Team K,Team J,Team J,82,2,1,18:07,16:58,01:09
2025-11-28,Team K,Team J,Team K,45,2,1,17:48,16:59,00:49
2025-11-28,Team K,Team J,Team K,22,2,1,17:48,15:26,02:22
2025-11-28,Team K,Team J,Team J,25,2,1,17:05,16:24,00:41
2025-11-28,Team K,Team J,Team K,62,2,1,17:04,15:30,01:34
2025-11-28,Team K,Team J,Team K,23,2,1,17:01,15:30,01:31
2025-11-28,Team K,Team J,Team K,25,2,1,17:00,15:33,01:27
2025-11-28,Team K,Team J,Team K,76,2,1,16:59,15:30,01:29
2025-11-28,Team K,Team J,Team J,8,2,1,16:58,16:24,00:34
2025-11-28,Team K,Team J,Team J,41,3,1,16:58,16:24,00:34
2025-11-28,Team K,Team J,Team J,50,1,1,16:58,16:24,00:34
2025-11-28,Team K,Team J,Team J,63,1,1,16:24,15:35,00:49
2025-11-28,Team K,Team J,Team J,5,3,1,16:24,15:30,00:54
2025-11-28,Team K,Team J,Team J,36,2,1,16:24,15:36,00:48
2025-11-28,Team K,Team J,Team J,12,2,1,16:24,15:30,00:54
2025-11-28,Team K,Team J,Team J,18,2,1,15:45,15:28,00:17
2025-11-28,Team K,Team J,Team J,43,3,1,15:36,14:38,00:58
2025-11-28,Team K,Team J,Team J,88,1,1,15:35,14:38,00:57
2025-11-28,Team K,Team J,Team K,42,1,1,15:33,14:38,00:55
2025-11-28,Team K,Team J,Team J,6,2,1,15:30,14:38,00:52
2025-11-28,Team K,Team J,Team J,82,3,1,15:30,14:38,00:52
2025-11-28,Team K,Team J,Team K,41,1,1,15:30,14:46,00:44
2025-11-28,Team K,Team J,Team K,58,1,1,15:30,14:38,00:52
2025-11-28,Team K,Team J,Team K,67,1,1,15:30,14:43,00:47
2025-11-28,Team K,Team J,Team J,13,1,1,15:28,14:38,00:50
2025-11-28,Team K,Team J,Team K,53,1,1,15:26,14:44,00:42
2025-11-28,Team K,Team J,Team K,45,3,1,14:46,14:38,00:08
2025-11-28,Team K,Team J,Team K,53,2,1,14:44,14:38,00:06
2025-11-28,Team K,Team J,Team K,68,2,1,14:44,14:38,00:06
2025-11-28,Team K,Team J,Team J,8,3,1,14:38,13:38,01:00
2025-11-28,Team K,Team J,Team J,77,1,1,14:38,13:43,00:55
2025-11-28,Team K,Team J,Team J,15,1,1,14:38,13:38,01:00
2025-11-28,Team K,Team J,Team J,19,3,1,14:38,13:43,00:55
2025-11-28,Team K,Team J,Team J,50,2,1,14:38,14:16,00:22
2025-11-28,Team K,Team J,Team K,26,1,1,14:38,13:38,01:00
2025-11-28,Team K,Team J,Team K,,3,1,14:38,13:30,01:08
2025-11-28,Team K,Team J,Team K,45,4,1,14:38,13:38,01:00
2025-11-28,Team K,Team J,Team K,67,2,1,14:38,13:40,00:58
2025-11-28,Team K,Team J,Team K,47,1,1,14:38,13:30,01:08
2025-11-28,Team K,Team J,Team J,12,3,1,14:16,12:56,01:20
2025-11-28,Team K,Team J,Team J,41,4,1,13:43,12:37,01:06
2025-11-28,Team K,Team J,Team J,25,3,1,13:43,12:26,01:17
2025-11-28,Team K,Team J,Team K,92,2,1,13:40,13:02,00:38
2025-11-28,Team K,Team J,Team J,13,2,1,13:38,12:29,01:09
2025-11-28,Team K,Team J,Team J,65,2,1,13:38,12:37,01:01
2025-11-28,Team K,Team J,Team K,78,2,1,13:38,13:05,00:33
2025-11-28,Team K,Team J,Team K,25,3,1,13:38,13:02,00:36
2025-11-28,Team K,Team J,Team K,23,3,1,13:30,12:25,01:05
2025-11-28,Team K,Team J,Team K,42,2,1,13:30,12:25,01:05
2025-11-28,Team K,Team J,Team K,76,3,1,13:05,12:06,00:59
2025-11-28,Team K,Team J,Team K,62,3,1,13:02,12:19,00:43
2025-11-28,Team K,Team J,Team K,22,3,1,13:02,12:10,00:52
