Image Id,Period,Game Clock,Player or Puck,Team,Player Id,Player Jersey Number,Rink Location X (Feet),Rink Location Y (Feet),Rink Location Z (Feet),Goal Score
2025-11-28 Team J @ Team K_335524,OT,5:00,Player,Home,10462,76,1.968,-14.204,1,
2025-11-28 Team J @ Team K_335524,OT,5:00,Player,Home,10463,62,1.790,-0.339,1,
2025-11-28 Team J @ Team K_335524,OT,5:00,Player,Home,11117,38,10.252,12.746,1,
2025-11-28 Team J @ Team K_335524,OT,5:00,Player,Away,10460,12,-5.831,-11.860,1,
2025-11-28 Team J @ Team K_335524,OT,5:00,Player,Away,10461,43,-3.834,14.963,1,
2025-11-28 Team J @ Team K_335524,OT,5:00,Player,Away,10464,88,0.099,-1.345,1,
2025-11-28 Team J @ Team K_335524,OT,5:00,Puck,n/a,n/a,n/a,3.344,-4.146,0.02,
2025-11-28 Team J @ Team K_335525,OT,5:00,Player,Home,10462,76,2.022,-13.866,1,
2025-11-28 Team J @ Team K_335525,OT,5:00,Player,Home,10463,62,1.740,-0.013,1,
2025-11-28 Team J @ Team K_335525,OT,5:00,Player,Home,11117,38,10.334,12.450,1,
2025-11-28 Team J @ Team K_335525,OT,5:00,Player,Away,10460,12,-5.839,-11.513,1,
2025-11-28 Team J @ Team K_335525,OT,5:00,Player,Away,10461,43,-3.756,14.896,1,
2025-11-28 Team J @ Team K_335525,OT,5:00,Player,Away,10464,88,0.083,-1.215,1,
2025-11-28 Team J @ Team K_335525,OT,5:00,Puck,n/a,n/a,n/a,3.479,-4.399,0.02,
2025-11-28 Team J @ Team K_335526,OT,5:00,Player,Home,10462,76,2.156,-13.395,1,
2025-11-28 Team J @ Team K_335526,OT,5:00,Player,Home,10463,62,1.727,0.148,1,
2025-11-28 Team J @ Team K_335526,OT,5:00,Player,Home,11117,38,10.416,12.155,1,
2025-11-28 Team J @ Team K_335526,OT,5:00,Player,Away,10460,12,-5.798,-11.093,1,
2025-11-28 Team J @ Team K_335526,OT,5:00,Player,Away,10461,43,-3.654,14.878,1,
2025-11-28 Team J @ Team K_335526,OT,5:00,Player,Away,10464,88,0.216,-0.843,1,
2025-11-28 Team J @ Team K_335526,OT,5:00,Puck,n/a,n/a,n/a,3.705,-4.904,0.02,
2025-11-28 Team J @ Team K_335527,OT,5:00,Player,Home,10462,76,2.370,-12.975,1,
2025-11-28 Team J @ Team K_335527,OT,5:00,Player,Home,10463,62,1.733,0.222,1,
2025-11-28 Team J @ Team K_335527,OT,5:00,Player,Home,11117,38,10.474,11.946,1,
2025-11-28 Team J @ Team K_335527,OT,5:00,Player,Away,10460,12,-5.740,-10.710,1,
2025-11-28 Team J @ Team K_335527,OT,5:00,Player,Away,10461,43,-3.526,14.800,1,
2025-11-28 Team J @ Team K_335527,OT,5:00,Player,Away,10464,88,0.352,-0.518,1,
2025-11-28 Team J @ Team K_335527,OT,5:00,Puck,n/a,n/a,n/a,3.955,-5.516,0.02,
2025-11-28 Team J @ Team K_335528,OT,5:00,Player,Home,10462,76,2.652,-12.747,1,
2025-11-28 Team J @ Team K_335528,OT,5:00,Player,Home,10463,62,1.796,0.127,1,
2025-11-28 Team J @ Team K_335528,OT,5:00,Player,Home,11117,38,10.508,11.773,1,
2025-11-28 Team J @ Team K_335528,OT,5:00,Player,Away,10460,12,-5.654,-10.341,1,
2025-11-28 Team J @ Team K_335528,OT,5:00,Player,Away,10461,43,-3.418,14.777,1,
2025-11-28 Team J @ Team K_335528,OT,5:00,Player,Away,10464,88,0.506,-0.843,1,
2025-11-28 Team J @ Team K_335528,OT,5:00,Puck,n/a,n/a,n/a,4.203,-6.044,0.02,
2025-11-28 Team J @ Team K_335529,OT,5:00,Player,Home,10462,76,2.954,-12.606,1,
2025-11-28 Team J @ Team K_335529,OT,5:00,Player,Home,10463,62,1.881,0.098,1,
2025-11-28 Team J @ Team K_335529,OT,5:00,Player,Home,11117,38,10.570,11.626,1,
2025-11-28 Team J @ Team K_335529,OT,5:00,Player,Away,10460,12,-5.597,-9.986,1,
2025-11-28 Team J @ Team K_335529,OT,5:00,Player,Away,10461,43,-3.263,14.702,1,
2025-11-28 Team J @ Team K_335529,OT,5:00,Player,Away,10464,88,0.663,-1.314,1,
2025-11-28 Team J @ Team K_335529,OT,5:00,Puck,n/a,n/a,n/a,4.389,-6.387,0.02,
2025-11-28 Team J @ Team K_335530,OT,5:00,Player,Home,10462,76,3.193,-12.109,1,
2025-11-28 Team J @ Team K_335530,OT,5:00,Player,Home,10463,62,1.916,0.471,1,
2025-11-28 Team J @ Team K_335530,OT,5:00,Player,Home,11117,38,10.497,11.899,1,
2025-11-28 Team J @ Team K_335530,OT,5:00,Player,Away,10460,12,-5.591,-9.306,1,
2025-11-28 Team J @ Team K_335530,OT,5:00,Player,Away,10461,43,-3.155,15.018,1,
2025-11-28 Team J @ Team K_335530,OT,5:00,Player,Away,10464,88,0.878,-1.375,1,
2025-11-28 Team J @ Team K_335530,OT,5:00,Puck,n/a,n/a,n/a,4.471,-6.357,0.02,
2025-11-28 Team J @ Team K_335531,OT,5:00,Player,Home,10462,76,3.252,-11.631,1,
2025-11-28 Team J @ Team K_335531,OT,5:00,Player,Home,10463,62,1.819,0.822,1,
2025-11-28 Team J @ Team K_335531,OT,5:00,Player,Home,11117,38,10.244,12.142,1,
2025-11-28 Team J @ Team K_335531,OT,5:00,Player,Away,10460,12,-5.710,-8.608,1,
2025-11-28 Team J @ Team K_335531,OT,5:00,Player,Away,10461,43,-3.217,15.164,1,
2025-11-28 Team J @ Team K_335531,OT,5:00,Player,Away,10464,88,0.871,-1.272,1,
2025-11-28 Team J @ Team K_335531,OT,5:00,Puck,n/a,n/a,n/a,4.386,-6.307,0.02,
2025-11-28 Team J @ Team K_335532,OT,5:00,Player,Home,10462,76,3.374,-11.263,1,
2025-11-28 Team J @ Team K_335532,OT,5:00,Player,Home,10463,62,1.775,1.084,1,
2025-11-28 Team J @ Team K_335532,OT,5:00,Player,Home,11117,38,10.051,12.316,1,
2025-11-28 Team J @ Team K_335532,OT,5:00,Player,Away,10460,12,-5.792,-8.061,1,
2025-11-28 Team J @ Team K_335532,OT,5:00,Player,Away,10461,43,-3.232,15.120,1,
2025-11-28 Team J @ Team K_335532,OT,5:00,Player,Away,10464,88,0.849,-1.187,1,
2025-11-28 Team J @ Team K_335532,OT,5:00,Puck,n/a,n/a,n/a,4.354,-6.434,0.02,
2025-11-28 Team J @ Team K_335533,OT,5:00,Player,Home,10462,76,3.754,-10.849,1,
2025-11-28 Team J @ Team K_335533,OT,5:00,Player,Home,10463,62,1.990,1.286,1,
2025-11-28 Team J @ Team K_335533,OT,5:00,Player,Home,11117,38,10.156,12.485,1,
2025-11-28 Team J @ Team K_335533,OT,5:00,Player,Away,10460,12,-5.720,-7.644,1,
2025-11-28 Team J @ Team K_335533,OT,5:00,Player,Away,10461,43,-3.095,15.298,1,
2025-11-28 Team J @ Team K_335533,OT,5:00,Player,Away,10464,88,1.004,-1.217,1,
2025-11-28 Team J @ Team K_335533,OT,5:00,Puck,n/a,n/a,n/a,4.544,-6.615,0.02,
2025-11-28 Team J @ Team K_335534,OT,5:00,Player,Home,10462,76,4.431,-10.738,1,
2025-11-28 Team J @ Team K_335534,OT,5:00,Player,Home,10463,62,2.485,1.018,1,
2025-11-28 Team J @ Team K_335534,OT,5:00,Player,Home,11117,38,10.618,12.299,1,
2025-11-28 Team J @ Team K_335534,OT,5:00,Player,Away,10460,12,-5.449,-7.665,1,
2025-11-28 Team J @ Team K_335534,OT,5:00,Player,Away,10461,43,-2.649,14.812,1,
2025-11-28 Team J @ Team K_335534,OT,5:00,Player,Away,10464,88,1.380,-1.613,1,
