Date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player_Id,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_Id_2,X_Coordinate_2,Y_Coordinate_2
2025-11-02,Team A,Team D,1,20:00,5,5,0,0,Team D,77,Faceoff Win,0.0,0.5,Backhand,,0,0,88,,
2025-11-02,Team A,Team D,1,19:59,5,5,0,0,Team D,52,Puck Recovery,-12.0,-11.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:58,5,5,0,0,Team D,52,Zone Entry,25.0,-38.5,Dumped,,0,0,48,,
2025-11-02,Team A,Team D,1,19:58,5,5,0,0,Team D,52,Dump In/Out,3.0,-26.5,Lost,,0,0,,,
2025-11-02,Team A,Team D,1,19:55,5,5,0,0,Team A,9,Puck Recovery,57.0,38.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:55,5,5,0,0,Team A,9,Play,57.0,38.5,Indirect,,0,0,45,82.0,34.5
2025-11-02,Team A,Team D,1,19:54,5,5,0,0,Team A,45,Play,82.0,34.5,Indirect,,0,0,48,93.0,-20.5
2025-11-02,Team A,Team D,1,19:52,5,5,0,0,Team A,48,Incomplete Play,89.0,-29.5,Indirect,,0,0,92,54.0,-32.5
2025-11-02,Team A,Team D,1,19:51,5,5,0,0,Team D,52,Takeaway,66.0,-39.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:50,5,5,0,0,Team D,52,Incomplete Play,77.0,-37.5,Indirect,,0,0,8,94.0,-16.5
2025-11-02,Team A,Team D,1,19:48,5,5,0,0,Team A,48,Puck Recovery,68.0,-34.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:43,5,5,0,0,Team A,48,Play,86.0,-31.5,Direct,,0,0,45,98.0,6.5
2025-11-02,Team A,Team D,1,19:43,5,5,0,0,Team A,48,Puck Recovery,86.0,-31.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:41,5,5,0,0,Team A,45,Incomplete Play,81.0,22.5,Direct,,0,0,48,48.0,-31.5
2025-11-02,Team A,Team D,1,19:37,5,5,0,0,Team D,8,Puck Recovery,20.0,-37.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:37,5,5,0,0,Team D,8,Dump In/Out,20.0,-37.5,Lost,,0,0,,,
2025-11-02,Team A,Team D,1,19:34,5,5,0,0,Team A,45,Puck Recovery,95.0,22.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:30,5,5,0,0,Team A,45,Play,61.0,10.5,Direct,,0,0,88,41.0,35.5
2025-11-02,Team A,Team D,1,19:25,5,5,0,0,Team A,39,Faceoff Win,20.0,22.5,Forehand,,0,0,12,,
2025-11-02,Team A,Team D,1,19:23,5,5,0,0,Team A,29,Puck Recovery,14.0,24.5,,,0,0,,,
2025-11-02,Team A,Team D,1,19:22,5,5,0,0,Team A,29,Play,22.0,17.5,Direct,,0,0,72,47.0,0.5
2025-11-02,Team A,Team D,1,19:19,5,5,0,0,Team A,72,Play,42.0,-34.5,Direct,,0,0,46,-7.0,-31.5
2025-11-02,Team A,Team D,1,19:18,5,5,0,0,Team A,46,Zone Entry,-25.0,-35.5,Dumped,,0,0,51,,
2025-11-02,Team A,Team D,1,19:18,5,5,0,0,Team A,46,Dump In/Out,-7.0,-31.5,Lost,,0,0,,,
2025-11-02,Team A,Team D,1,19:15,5,5,0,0,Team D,84,Puck Recovery,-94.0,-8.5,,,0,0,,,
