eps,min_samples,n_obs,n_clusters,n_noise,noise_pct,largest_cluster_share_pct,silhouette_non_noise
1.4,5,1569,7,1461,93.11663479923519,64.81481481481481,0.06140227567040429
1.5,5,1569,6,1347,85.8508604206501,90.09009009009009,-0.1406391498997844
2.2,5,1569,5,418,26.64117272147865,98.69678540399653,-0.010086987195347265
1.6,5,1569,5,1185,75.52581261950287,93.75,-0.09255812006131285
1.9,5,1569,4,725,46.20777565328235,97.74881516587678,0.21111261643810988
1.8,5,1569,4,880,56.08667941363926,97.82293178519593,0.17305522665294593
2.4,5,1569,3,294,18.738049713193117,99.29411764705883,0.3857415233956582
2.5,5,1569,3,246,15.678776290630974,99.31972789115646,0.3764785629167391
2.1,8,1569,3,559,35.62778840025494,98.61386138613861,0.1934170843921752
2.3,5,1569,3,354,22.562141491395792,99.42386831275721,0.1911631034606487
1.5,8,1569,3,1438,91.65073295092415,80.1526717557252,0.19080299236657017
1.5,10,1569,3,1477,94.13639260675589,77.17391304347827,0.10816236943280519
1.8,12,1569,3,1098,69.98087954110899,95.75371549893843,0.01502695573597391
2.6,5,1569,2,211,13.448056086679413,99.55817378497791,0.4060573690680658
2.0,5,1569,2,600,38.24091778202677,99.48400412796698,0.3548615942907748
2.2,8,1569,2,471,30.019120458891013,99.4535519125683,0.2882939868503878
2.3,8,1569,2,392,24.984066284257487,99.15038232795243,0.28607681130146284
1.8,10,1569,2,1052,67.04907584448694,97.87234042553192,0.28602820316687694
2.0,10,1569,2,733,46.7176545570427,98.92344497607655,0.2561792088232955
1.7,8,1569,2,1158,73.80497131931166,98.05352798053528,0.2448164034943328
3.1,5,1569,2,90,5.736137667304015,99.72954699121027,0.22600570718845694
3.2,5,1569,2,70,4.461440407903123,99.73315543695797,0.21974592696460582
3.3,5,1569,2,64,4.0790312300828555,99.80066445182725,0.20274742553812433
1.6,15,1569,2,1451,92.47928616953473,87.28813559322033,0.1808971783919307
4.0,5,1569,1,23,1.4659018483110262,,
3.9,5,1569,1,24,1.5296367112810707,,
3.8,5,1569,1,25,1.5933715742511154,,
4.0,8,1569,1,26,1.65710643722116,,
4.0,10,1569,1,26,1.65710643722116,,
3.7,5,1569,1,27,1.7208413001912046,,
3.9,8,1569,1,28,1.7845761631612491,,
3.9,10,1569,1,28,1.7845761631612491,,
4.0,12,1569,1,29,1.8483110261312938,,
3.8,8,1569,1,30,1.9120458891013383,,
4.0,15,1569,1,31,1.975780752071383,,
3.8,10,1569,1,32,2.0395156150414278,,
3.9,12,1569,1,32,2.0395156150414278,,
3.6,5,1569,1,33,2.1032504780114722,,
3.7,8,1569,1,33,2.1032504780114722,,
3.8,12,1569,1,34,2.1669853409815167,,
3.9,15,1569,1,35,2.2307202039515617,,
4.0,20,1569,1,35,2.2307202039515617,,
3.7,10,1569,1,36,2.294455066921606,,
3.7,12,1569,1,36,2.294455066921606,,
3.6,8,1569,1,37,2.3581899298916507,,
4.0,25,1569,1,37,2.3581899298916507,,
3.5,5,1569,1,38,2.421924792861695,,
3.8,15,1569,1,38,2.421924792861695,,
3.9,20,1569,1,38,2.421924792861695,,
3.7,15,1569,1,40,2.5493945188017846,,
3.9,25,1569,1,41,2.613129381771829,,
3.8,20,1569,1,42,2.676864244741874,,
3.6,10,1569,1,43,2.7405991077119185,,
3.5,8,1569,1,45,2.8680688336520075,,
3.6,12,1569,1,45,2.8680688336520075,,
3.7,20,1569,1,45,2.8680688336520075,,
3.8,25,1569,1,45,2.8680688336520075,,
3.7,25,1569,1,48,3.0592734225621414,,
3.5,10,1569,1,49,3.123008285532186,,
3.6,15,1569,1,49,3.123008285532186,,
3.6,20,1569,1,51,3.2504780114722753,,
3.4,5,1569,1,52,3.31421287444232,,
3.5,12,1569,1,53,3.3779477374123648,,
3.6,25,1569,1,53,3.3779477374123648,,
3.4,8,1569,1,57,3.632887189292543,,
3.5,15,1569,1,61,3.8878266411727216,,
3.5,20,1569,1,61,3.8878266411727216,,
3.4,10,1569,1,68,4.3339706819630335,,
3.4,12,1569,1,70,4.461440407903123,,
3.4,15,1569,1,72,4.588910133843212,,
3.5,25,1569,1,73,4.652644996813257,,
3.4,20,1569,1,75,4.780114722753346,,
3.3,8,1569,1,76,4.84384958572339,,
3.3,10,1569,1,82,5.226258763543658,,
3.3,12,1569,1,84,5.353728489483748,,
3.3,15,1569,1,86,5.481198215423837,,
3.2,8,1569,1,88,5.608667941363926,,
3.4,25,1569,1,90,5.736137667304015,,
3.2,10,1569,1,92,5.863607393244105,,
3.2,12,1569,1,93,5.927342256214149,,
3.2,15,1569,1,101,6.437221159974506,,
3.3,20,1569,1,101,6.437221159974506,,
3.1,8,1569,1,107,6.819630337794774,,
3.3,25,1569,1,107,6.819630337794774,,
3.0,5,1569,1,110,7.0108349267049075,,
3.2,20,1569,1,112,7.1383046526449965,,
3.1,10,1569,1,113,7.202039515615041,,
3.1,12,1569,1,118,7.520713830465264,,
3.2,25,1569,1,121,7.711918419375398,,
3.0,8,1569,1,124,7.903123008285532,,
2.9,5,1569,1,130,8.2855321861058,,
3.1,15,1569,1,130,8.2855321861058,,
3.0,10,1569,1,132,8.413001912045889,,
3.0,12,1569,1,135,8.604206500956023,,
3.1,20,1569,1,141,8.98661567877629,,
2.9,8,1569,1,142,9.050350541746335,,
3.0,15,1569,1,145,9.241555130656469,,
3.1,25,1569,1,147,9.369024856596559,,
2.8,5,1569,1,151,9.623964308476737,,
2.9,10,1569,1,154,9.81516889738687,,
3.0,20,1569,1,156,9.94263862332696,,
2.9,12,1569,1,162,10.325047801147228,,
3.0,25,1569,1,164,10.452517527087316,,
2.9,15,1569,1,168,10.707456978967496,,
2.8,8,1569,1,170,10.834926704907584,,
2.9,20,1569,1,176,11.217335882727852,,
2.7,5,1569,1,180,11.47227533460803,,
2.8,10,1569,1,180,11.47227533460803,,
2.8,12,1569,1,187,11.918419375398344,,
2.9,25,1569,1,195,12.4282982791587,,
2.8,15,1569,1,198,12.619502868068833,,
2.7,8,1569,1,202,12.874442319949011,,
2.8,20,1569,1,212,13.511790949649459,,
2.7,10,1569,1,216,13.766730401529637,,
2.7,12,1569,1,226,14.404079031230083,,
2.8,25,1569,1,232,14.78648820905035,,
2.7,15,1569,1,234,14.91395793499044,,
2.6,8,1569,1,246,15.678776290630974,,
2.6,10,1569,1,254,16.18865519439133,,
2.7,20,1569,1,257,16.379859783301466,,
2.6,12,1569,1,259,16.507329509241554,,
2.6,15,1569,1,275,17.52708731676227,,
2.5,8,1569,1,281,17.909496494582537,,
2.7,25,1569,1,286,18.22817080943276,,
2.5,10,1569,1,296,18.865519439133205,,
2.6,20,1569,1,300,19.120458891013385,,
2.5,12,1569,1,313,19.949012109623965,,
2.5,15,1569,1,328,20.905035054174633,,
2.4,8,1569,1,336,21.414913957934992,,
2.6,25,1569,1,339,21.606118546845124,,
2.4,10,1569,1,359,22.880815806246016,,
2.5,20,1569,1,367,23.390694710006372,,
2.4,12,1569,1,374,23.836838750796687,,
2.5,25,1569,1,385,24.537922243467175,,
2.4,15,1569,1,402,25.621414913957935,,
2.3,10,1569,1,420,26.76864244741874,,
2.4,20,1569,1,425,27.087316762268962,,
2.3,12,1569,1,443,28.234544295729766,,
2.3,15,1569,1,469,29.891650732950925,,
2.4,25,1569,1,472,30.082855321861057,,
2.2,10,1569,1,505,32.18610579987253,,
2.1,5,1569,1,510,32.504780114722756,,
2.3,20,1569,1,523,33.333333333333336,,
2.2,12,1569,1,526,33.52453792224347,,
2.2,15,1569,1,548,34.92670490758445,,
2.3,25,1569,1,550,35.05417463352454,,
2.1,10,1569,1,602,38.36838750796686,,
2.2,20,1569,1,616,39.26067558954748,,
2.1,12,1569,1,632,40.280433397068194,,
2.2,25,1569,1,672,42.829827915869984,,
2.1,15,1569,1,684,43.59464627151051,,
2.0,8,1569,1,693,44.168260038240916,,
2.1,20,1569,1,754,48.05608667941364,,
2.0,12,1569,1,785,50.031867431485026,,
2.1,25,1569,1,816,52.007648183556405,,
2.0,15,1569,1,824,52.517527087316765,,
1.9,8,1569,1,841,53.60101975780752,,
1.9,10,1569,1,885,56.40535372848949,,
2.0,20,1569,1,897,57.170172084130016,,
1.9,12,1569,1,926,59.018483110261315,,
2.0,25,1569,1,947,60.35691523263225,,
1.9,15,1569,1,979,62.39643084767368,,
1.8,8,1569,1,992,63.22498406628426,,
1.7,5,1569,1,1041,66.34799235181644,,
1.9,20,1569,1,1059,67.49521988527725,,
1.9,25,1569,1,1136,72.40280433397068,,
1.8,15,1569,1,1163,74.12364563416189,,
1.7,10,1569,1,1217,77.5653282345443,,
1.7,12,1569,1,1255,79.98725302740598,,
1.8,20,1569,1,1256,80.05098789037604,,
1.6,8,1569,1,1304,83.11026131293818,,
1.7,15,1569,1,1316,83.8750796685787,,
1.8,25,1569,1,1327,84.5761631612492,,
1.6,10,1569,1,1344,85.65965583173997,,
1.6,12,1569,1,1378,87.82664117272148,,
1.7,20,1569,1,1401,89.2925430210325,,
1.7,25,1569,1,1460,93.05289993626513,,
1.6,20,1569,1,1509,96.17590822179733,,
1.5,12,1569,1,1519,96.81325685149777,,
1.6,25,1569,1,1526,97.25940089228808,,
1.4,8,1569,1,1527,97.32313575525812,,
1.4,10,1569,1,1545,98.47036328871893,,
1.5,15,1569,1,1549,98.7253027405991,,
1.5,20,1569,1,1549,98.7253027405991,,
1.4,12,1569,1,1556,99.17144678138942,,
1.4,15,1569,0,1569,100.0,,
1.4,20,1569,0,1569,100.0,,
1.4,25,1569,0,1569,100.0,,
1.5,25,1569,0,1569,100.0,,
