covariance_type,n_components,n_obs,bic,aic,silhouette,calinski_harabasz,davies_bouldin,n_components_found,largest_component_weight,smallest_component_weight,weight_entropy
full,6,1569,29824.977366061023,21696.59744316501,0.02267542280434136,215.29647739830637,3.09458067639495,6,0.30251702650092216,0.07147103719145978,1.6537944187126414
full,7,1569,30964.90137885465,21480.898436517185,0.010179785031117506,196.38355115841836,2.8284049456311524,7,0.30192018366355805,0.06003308738930471,1.788878852471639
full,5,1569,32030.706553805794,25257.949650351242,0.05788558655111604,249.2222519681093,3.021926679532,5,0.3373489927187839,0.09428573489923477,1.4827840185254266
full,8,1569,32152.41096432061,21312.785002541685,-0.005184417467760594,169.4712639710763,2.629947428559695,8,0.3097694773046009,0.0482696886089769,1.8670375266382782
full,9,1569,32456.762054566705,20261.513073346323,-0.029313681221823196,146.05537110242778,2.741612717364135,9,0.3033863380083364,0.03367326632323513,1.896052688902911
full,4,1569,33235.29531570158,27818.161431688484,0.06336415315990246,295.15873133353654,2.2578596575434355,4,0.41264816719611974,0.07384798363243997,1.238640731386773
full,12,1569,34146.488131692255,17884.370092147507,-0.04479568270265279,121.54072435517269,3.1063198613769942,12,0.18860817291315649,0.010834926704906402,2.1550302090722164
full,10,1569,34421.30258113467,20870.43058047283,0.015419896059818333,150.8808044730609,2.989360031031109,10,0.20958723069669577,0.02301805781574491,2.0551839097549105
full,11,1569,35677.90369815807,20771.408678054773,-0.030031687002488056,130.32323944441578,2.787505687205698,11,0.23540438603436709,0.023507213644768,2.1442300491550594
full,3,1569,37930.909937845114,33869.399073273475,0.12630616179276824,339.753685654572,2.2486252846106134,3,0.46922432053773316,0.17828932641441733,1.0300355820609268
full,2,1569,41254.823134795624,38548.935289665445,0.21991598854358668,584.0023814628245,1.521684492666549,2,0.5292667707438744,0.4707332292561256,0.6914331132541036
tied,12,1569,43731.8751421872,41084.92742833708,0.03534676514977347,105.61728027482101,1.98091919882768,12,0.6286479854464381,0.003824089122551167,1.4670990786197178
tied,11,1569,44390.68573728506,41861.618285995064,0.019788233177656673,111.55153061108709,2.042407626849716,11,0.5701086167008615,0.008948610259972461,1.6272044109489472
tied,10,1569,44461.97447647713,42050.78728774727,0.014155214783630247,100.91513910367212,2.4732102384067027,10,0.5761013924745656,0.008294007788334645,1.5362046316305589
tied,9,1569,44577.706380687676,42284.39945451794,0.020351788763922955,118.9829131894339,2.2370812435577365,9,0.6102958889455249,0.007647103249945305,1.395019536486721
tied,8,1569,44913.82426461941,42738.3976010098,0.027341445810621954,114.64118444399877,2.0985114860971903,8,0.6985680849003084,0.01588649710862883,1.1696430075672661
tied,7,1569,45131.79517814004,43074.24877709056,0.041630234190857575,132.2070848127605,1.9226195348546966,7,0.689067589294767,0.01907105408191083,1.1308699731558605
tied,6,1569,45701.93051056222,43762.26437207286,0.0727730011443054,177.97851916835663,1.9389900460858183,6,0.6873310983733797,0.01840812773419925,1.0502991672545068
tied,5,1569,46361.45206311019,44539.66618718096,0.046789721749892606,212.5126444764069,2.302718740183283,5,0.6264606711248841,0.018500444627735726,1.07752710270402
tied,4,1569,46650.41931477684,44946.51370140773,0.06696378168185448,199.00147738577965,1.8641403813055728,4,0.771881511612159,0.020516910627073257,0.7406435330876703
tied,3,1569,47339.15048058053,45753.12512977155,0.08620508215829141,249.30384517671087,1.8668409901111696,3,0.7959945950355874,0.07294710165310353,0.6389187274059627
tied,2,1569,48117.75442363087,46649.60933538202,0.2994739809447685,426.2051127533936,1.2983681837464287,2,0.8547768258746209,0.1452231741253791,0.41433292256727433
full,1,1569,48740.636900809084,47390.37207512036,,,,1,1.0,1.0,-0.0
tied,1,1569,48740.63690080909,47390.372075120365,,,,1,1.0,1.0,-0.0
diag,12,1569,55536.3763784728,52776.906595815286,0.004629721408136692,152.0433948710448,2.534287745966193,12,0.15557457936461888,0.032906488759705116,2.3939907656960933
diag,11,1569,56090.13835845302,53561.070907163026,0.02151240529965419,160.39561098312828,2.5113410855054266,11,0.15959952917725972,0.03900613017087307,2.2903461645490832
diag,10,1569,56431.39491392257,54132.7297940001,0.015946951197062062,172.56383079625994,2.520248930853214,10,0.16904888532606577,0.04559813892814188,2.206736311829294
diag,9,1569,59481.90537202605,57413.6425834711,0.030985499505949605,224.90524369414024,2.418150022228861,9,0.20353327051453868,0.06358188327614998,2.1325332490801285
diag,8,1569,60537.868312725564,58700.00785553813,0.06470974779193985,250.0622768382929,2.379529309458553,8,0.1837308649931592,0.06765501748687382,2.0249043230008583
diag,7,1569,61372.68068078825,59765.22255496834,0.05103692690656607,266.38167392094863,2.3562912974835344,7,0.19868747621600166,0.08871883517140415,1.9029106274791665
diag,6,1569,62728.20114754079,61351.1453530884,0.059482392567934673,297.9420262607222,2.275937741073485,6,0.24056329687482958,0.08143686721093321,1.729964692296911
diag,5,1569,64467.63853231408,63320.98506922921,0.09066554280353986,349.55868594695505,2.129385820045608,5,0.2397349360986346,0.13568707393137486,1.581510104658866
diag,4,1569,66103.45333191981,65187.20220020246,0.08711055388759163,406.76234295978026,2.1588488696807713,4,0.33026063828962005,0.15489398369927637,1.3533713210270375
spherical,12,1569,68905.39619922981,67431.89291722824,0.06836316918121393,196.21822179143737,2.574987370591217,12,0.1335856123927181,0.03618950382370296,2.4094461730505268
spherical,11,1569,69306.0527632233,67955.78793753458,0.07041719310119492,200.02339172789118,2.2359095482647877,11,0.13581938837341265,0.04745788304669597,2.352534089364317
spherical,10,1569,69711.0995121445,68484.07314276864,0.0657382423736199,209.02499134039502,2.3165933628739013,10,0.15012823788382876,0.04837411091073502,2.2442056180702163
spherical,9,1569,70274.2250925206,69170.4371794576,0.07375987365827918,228.99580148389444,2.3328933443278017,9,0.18504415173400682,0.04898275828928732,2.1149827907101635
spherical,8,1569,70900.95138040585,69920.4019236557,0.09092802219252477,251.73228894037896,2.311202290126876,8,0.20506663577431072,0.05019674834550491,1.9945727555180484
spherical,7,1569,71617.75406091855,70760.44306048127,0.09129368865809584,274.8270296625133,2.479029236239325,7,0.21841410281170817,0.06333935940046279,1.8740523752979872
diag,3,1569,72055.40439196571,71369.55559161588,0.17891490947256442,573.3587943649252,1.615203070829261,3,0.4278790925978583,0.26092322485438463,1.077060190910869
spherical,6,1569,72720.07405249355,71986.00150836913,0.11502737020038195,306.2503195004714,2.6678919700523394,6,0.25669364700201946,0.10809739827549245,1.7235302915486321
spherical,5,1569,73783.97238878747,73173.1383009759,0.11086317210542206,344.6490487235946,2.650522474839655,5,0.3007828479815674,0.13666059752873014,1.5631260312927884
spherical,4,1569,75412.45447552613,74924.85884402742,0.10512298355814646,359.51501988798606,2.6418354141091838,4,0.3471580384537903,0.20106558127486016,1.3595175650280054
spherical,3,1569,77419.94648484784,77055.589309662,0.1631254517831029,521.405037214319,1.680416838672713,3,0.41267225187531825,0.28129742607794883,1.084400059997025
diag,2,1569,78686.07292002488,78230.62645104257,0.2679898700038196,746.2192233993219,1.3499021188492895,2,0.5435578801006185,0.45644211989938155,0.6893477884857337
spherical,2,1569,82493.15674268676,82252.03802381377,0.2705982576045027,749.2476536074039,1.3475446691296102,2,0.5525478737301793,0.4474521262698206,0.6876144110945349
spherical,1,1569,93667.09172369812,93549.211461138,,,,1,1.0,1.0,-0.0
diag,1,1569,93814.25559875277,93589.21146113798,,,,1,1.0,1.0,-0.0
