game_id,date,away_team,home_team,possessing_team,forechecking_team,start_event_idx,end_event_idx,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,start_period_label,end_period_label,start_clock,end_clock,start_event,end_event,start_x,start_y,end_x,end_y,outcome,turnover_in_dzone,forced_dump_out,controlled_exit_allowed,stoppage,timeout,exit_lane,start_is_5v5,episode_id
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,4,8,8.0,11.0,3.0,1,1,19:52,19:49,Puck Recovery,Puck Recovery,93.0,11.5,56.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0000
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,11,14,22.0,30.0,8.0,1,1,19:38,19:30,Puck Recovery,Zone Entry,58.0,39.5,-26.0,31.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0001
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,20,22,41.0,43.0,2.0,1,1,19:19,19:17,Puck Recovery,Puck Recovery,-96.0,-12.5,-69.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0002
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,29,30,48.0,50.0,2.0,1,1,19:12,19:10,Puck Recovery,Dump In/Out,-72.0,3.5,-67.0,-0.5,forced_dump_out,0,1,0,0,0,middle,1,2025-10-11.Team.A.@.Team.D__0003
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,38,40,64.0,72.0,8.0,1,1,18:56,18:48,Puck Recovery,Zone Entry,96.0,6.5,-26.0,-38.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0004
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,43,45,75.0,79.0,4.0,1,1,18:45,18:41,Puck Recovery,Zone Entry,-63.0,-35.5,25.0,-31.5,controlled_exit_allowed,0,0,1,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0005
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,61,64,110.0,121.0,11.0,1,1,18:10,17:59,Puck Recovery,Faceoff Win,93.0,-18.5,69.0,22.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0006
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,67,73,124.0,130.0,6.0,1,1,17:56,17:50,Faceoff Win,Puck Recovery,69.0,22.5,33.0,-34.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0007
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,75,76,134.0,135.0,1.0,1,1,17:46,17:45,Puck Recovery,Takeaway,70.0,39.5,46.0,39.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0008
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,80,87,147.0,159.0,12.0,1,1,17:33,17:21,Faceoff Win,Faceoff Win,69.0,22.5,69.0,22.5,stoppage,0,0,0,1,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0009
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,87,94,159.0,176.0,17.0,1,1,17:21,17:04,Faceoff Win,Puck Recovery,69.0,22.5,87.0,37.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0010
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,91,93,167.0,173.0,6.0,1,1,17:13,17:07,Puck Recovery,Zone Entry,-38.0,-20.5,25.0,38.5,controlled_exit_allowed,0,0,1,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0011
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team A,Team D,96,98,177.0,179.0,2.0,1,1,17:03,17:01,Puck Recovery,Puck Recovery,95.0,19.5,50.0,40.5,turnover_in_dzone,1,0,0,0,0,boards_positive,1,2025-10-11.Team.A.@.Team.D__0012
2025-10-11.Team.A.@.Team.D,2025-10-11,Team A,Team D,Team D,Team A,110,113,204.0,207.0,3.0,1,1,16:36,16:33,Puck Recovery,Puck Recovery,-92.0,-20.5,-39.0,-18.5,turnover_in_dzone,1,0,0,0,0,boards_negative,1,2025-10-11.Team.A.@.Team.D__0013
