possession_id,game_id,attacking_team,defending_team,start_elapsed_seconds,end_elapsed_seconds,duration_seconds,start_period_label,end_period_label,start_event,end_event,start_x,start_y,end_x,end_y,end_reason,shot_or_goal_in_possession,slot_shot_or_goal_in_possession,n_events
2025-10-11.Team.A.@.Team.D__pos_0000,2025-10-11.Team.A.@.Team.D,Team D,Team A,5.0,8.0,3.0,1,1,Zone Entry,Puck Recovery,25.0,-30.5,93.0,11.5,turnover_or_recovery,1,0,2
2025-10-11.Team.A.@.Team.D__pos_0001,2025-10-11.Team.A.@.Team.D,Team D,Team A,11.0,22.0,11.0,1,1,Play,Puck Recovery,56.0,39.5,58.0,39.5,turnover_or_recovery,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0002,2025-10-11.Team.A.@.Team.D,Team D,Team A,11.0,22.0,11.0,1,1,Puck Recovery,Puck Recovery,56.0,39.5,58.0,39.5,turnover_or_recovery,0,0,4
2025-10-11.Team.A.@.Team.D__pos_0003,2025-10-11.Team.A.@.Team.D,Team D,Team A,14.0,22.0,8.0,1,1,Play,Puck Recovery,30.0,34.5,58.0,39.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0004,2025-10-11.Team.A.@.Team.D,Team D,Team A,15.0,22.0,7.0,1,1,Play,Puck Recovery,33.0,36.5,58.0,39.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0005,2025-10-11.Team.A.@.Team.D,Team A,Team D,30.0,41.0,11.0,1,1,Zone Entry,Puck Recovery,-26.0,31.5,-96.0,-12.5,turnover_or_recovery,1,1,6
2025-10-11.Team.A.@.Team.D__pos_0006,2025-10-11.Team.A.@.Team.D,Team A,Team D,30.0,41.0,11.0,1,1,Play,Puck Recovery,-32.0,31.5,-96.0,-12.5,turnover_or_recovery,1,1,6
2025-10-11.Team.A.@.Team.D__pos_0007,2025-10-11.Team.A.@.Team.D,Team A,Team D,33.0,41.0,8.0,1,1,Puck Recovery,Puck Recovery,-74.0,27.5,-96.0,-12.5,turnover_or_recovery,1,1,4
2025-10-11.Team.A.@.Team.D__pos_0008,2025-10-11.Team.A.@.Team.D,Team A,Team D,36.0,41.0,5.0,1,1,Puck Recovery,Puck Recovery,-63.0,-37.5,-96.0,-12.5,turnover_or_recovery,0,0,2
2025-10-11.Team.A.@.Team.D__pos_0009,2025-10-11.Team.A.@.Team.D,Team A,Team D,39.0,41.0,2.0,1,1,Play,Puck Recovery,-34.0,-39.5,-96.0,-12.5,turnover_or_recovery,0,0,1
2025-10-11.Team.A.@.Team.D__pos_0010,2025-10-11.Team.A.@.Team.D,Team A,Team D,43.0,48.0,5.0,1,1,Puck Recovery,Puck Recovery,-69.0,39.5,-72.0,3.5,turnover_or_recovery,1,1,7
2025-10-11.Team.A.@.Team.D__pos_0011,2025-10-11.Team.A.@.Team.D,Team A,Team D,43.0,48.0,5.0,1,1,Play,Puck Recovery,-69.0,39.5,-72.0,3.5,turnover_or_recovery,1,1,7
